Language,ISO_code,Phoible_code,Meaning,Form,Trill,Dataset,Family,Branch,Area,Continent
Nung-Fengshan,zgn,zgn,smooth,luam.3,no,IDS,NA,NA,NA,NA
Nung-Lazhai,zgn,zgn,smooth,ɨ:n.3,no,IDS,NA,NA,NA,NA
Nung-Lazhai,zgn,zgn,smooth,lɨ:n.5,no,IDS,NA,NA,NA,NA
Zhuang-Longzhou,zzj,zzj,smooth,lə:n.5,NA,IDS,NA,NA,NA,NA
Zhuang-Longzhou,zzj,zzj,smooth,lə:n.5 łak.7,NA,IDS,NA,NA,NA,NA
Langja Buyang,yzg,yzg,smooth,lɨ:n.24,NA,IDS,NA,NA,NA,NA
Ecun Buyang,yln,yln,smooth,hɛt.31,NA,IDS,NA,NA,NA,NA
Sanchong Kelao,giq,giq,smooth,ʔlui.35,NA,IDS,NA,NA,NA,NA
Qau Kelao,gqu,gqu,smooth,chi.35 pje.42,no,IDS,NA,NA,NA,NA
Mahasu Pahari (Kotghari dialect),bfz,bfz,smooth,sõrlo,NA,IDS,NA,NA,NA,NA
Punjabi,pnb,pan,smooth,mulāyama,no,IDS,NA,NA,NA,NA
Kme-2 (Kemie variety),mml,mml,smooth,hiap.33,NA,IDS,NA,NA,NA,NA
Bulang,blr,blr,smooth,hai.51 mut.33,yes,IDS,NA,NA,NA,NA
Bulang-2,blr,blr,smooth,ʔa.31 khliat.51,yes,IDS,NA,NA,NA,NA
Bulang-3,blr,blr,smooth,khlɛt.55,yes,IDS,NA,NA,NA,NA
Keme (Kemie variety),mml,mml,smooth,len.35,NA,IDS,NA,NA,NA,NA
Xu,huo,huo,smooth,khliet.31,NA,IDS,NA,NA,NA,NA
Wa,wbm,wbm,smooth,ńu.A,yes,IDS,NA,NA,NA,NA
Rumai,rbb,rbb,smooth,ləm.55,NA,IDS,NA,NA,NA,NA
Prai,pry,pry,smooth,mial,NA,IDS,NA,NA,NA,NA
Prai,pry,pry,smooth,mial,NA,IDS,NA,NA,NA,NA
Pusing,bgk,bgk,smooth,lət mat,NA,IDS,NA,NA,NA,NA
Paliu,ply,ply,smooth,ri.33 mɨt.33,NA,IDS,NA,NA,NA,NA
Phong,pnx,pnx,smooth,lian.42,NA,IDS,NA,NA,NA,NA
Ahlao Th,thm,thm,smooth,hăʔdiʔ.B kŏh.B,no,IDS,NA,NA,NA,NA
Pear,pcb,pcb,smooth,prɛt liat,NA,IDS,NA,NA,NA,NA
Kasong,syo,syo,smooth,riəp.E,NA,IDS,NA,NA,NA,NA
Samre,sxm,sxm,smooth,riəp.B,no,IDS,NA,NA,NA,NA
Iduh,tyh,tyh,smooth,bîn,NA,IDS,NA,NA,NA,NA
Mang Ch,zng,zng,smooth,pə.31 luaŋ.51,NA,IDS,NA,NA,NA,NA
