Dataset.x,language.id,language.name,glottocode,latitude,longitude,family,concept,form_id,value,form,Language_broad,n,Dataset.y,AutotypMatch,R_type,Comments,PhoibleMatch,Trill
halenepal,halenepal-Nepali,Nepali,nepa1254,28.0,85.0,Indo-European,SMOOTH,halenepal-Nepali-1676_smooth-2,cillā,cillā,Nepali,1,IDS,nep,NA,"also wikipedia says ""r is always a trill""",nep,yes
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,SMOOTH,halenepal-Newar-1676_smooth-3,culu,culu,Newar,1,CLICS,new,NA,NA,new,NA
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,SMOOTH,halenepal-Newar-1676_smooth-4,picu-gu,picu-gu,Newar,1,CLICS,new,NA,NA,new,NA
halenepal,halenepal-Sunwar,Sunwar,sunw1242,27.5201,86.2476,Sino-Tibetan,SMOOTH,halenepal-Sunwar-1676_smooth-2,silsil,silsil,Sunwar,1,CLICS,suz,trill,"""A Grammar of Sunwar"". Dörte Borchers. Retrieved 27 August 2018.",NA,NA
halenepal,halenepal-SahuTamang,Tamang (Sahu),west2415,28.0239,85.0563,Sino-Tibetan,SMOOTH,halenepal-SahuTamang-1676_smooth-2,plā:-pā,plā:-pā,Tamang,1,CLICS,taj,NA,NA,taj,NA
halenepal,halenepal-Thakali,Thakali,thak1245,28.7014,83.6466,Sino-Tibetan,SMOOTH,halenepal-Thakali-1676_smooth-2,cyahm-pa,cyahm-pa,Thakali,1,CLICS,ths,NA,NA,NA,NA
halenepal,halenepal-Chepang,Chepang,chep1245,27.7206,84.9017,Sino-Tibetan,ROUGH,halenepal-Chepang-1677_rough-1,cek.ʔo,cek.ʔo,Chepang,1,CLICS,cdm,NA,NA,cdm,NA
halenepal,halenepal-Gurung,Gurung,guru1261,27.41687,86.28988,Sino-Tibetan,ROUGH,halenepal-Gurung-1677_rough-1,khāsroq,khāsroq,Gurung,1,CLICS,ggn; gvr,trill,https://audio-video.shanti.virginia.edu/video/gurung-man-describes-otar-village,NA,NA
halenepal,halenepal-Kaike,Kaike,kaik1246,28.853,83.1384,Sino-Tibetan,ROUGH,halenepal-Kaike-1677_rough-1,khokhsorhopā,khokhsorhopā,Kaike,1,CLICS,kzq,NA,NA,NA,NA
halenepal,halenepal-Khaling,Khaling,khal1275,27.3912,87.5053,Sino-Tibetan,ROUGH,halenepal-Khaling-1677_rough-1,ma-solāemim,ma-solāemim,Khaling,1,CLICS,klr,trill,http://www.ling.sinica.edu.tw/files/publication/j2012_6_03_7314.pdf,NA,NA
halenepal,halenepal-Kham,Kham,parb1234,None,None,Sino-Tibetan,ROUGH,halenepal-Kham-1677_rough-1,katala̩ matala̩o,katala̩_matala̩o,Kham,1,CLICS,kgj; kif; kip; kjl,NA,NA,NA,NA
halenepal,halenepal-Magar,Magar,maga1261,None,None,Sino-Tibetan,ROUGH,halenepal-Magar-1677_rough-1,us-ke,us-ke,Magar,1,CLICS,mgp,no trill,wiki,NA,NA
halenepal,halenepal-Nepali,Nepali,nepa1254,28.0,85.0,Indo-European,ROUGH,halenepal-Nepali-1677_rough-1,khasro,khasro,Nepali,1,IDS,nep,NA,"also wikipedia says ""r is always a trill""",nep,yes
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,ROUGH,halenepal-Newar-1677_rough-1,chyāka:,chyāka:,Newar,1,CLICS,new,NA,NA,new,NA
halenepal,halenepal-Sunwar,Sunwar,sunw1242,27.5201,86.2476,Sino-Tibetan,ROUGH,halenepal-Sunwar-1677_rough-1,mā silsil,mā_silsil,Sunwar,1,CLICS,suz,trill,"""A Grammar of Sunwar"". Dörte Borchers. Retrieved 27 August 2018.",NA,NA
halenepal,halenepal-SahuTamang,Tamang (Sahu),west2415,28.0239,85.0563,Sino-Tibetan,ROUGH,halenepal-SahuTamang-1677_rough-1,'phoppa,'phoppa,Tamang,1,CLICS,taj,NA,NA,taj,NA
halenepal,halenepal-Thakali,Thakali,thak1245,28.7014,83.6466,Sino-Tibetan,ROUGH,halenepal-Thakali-1677_rough-1,kyohng-pa,kyohng-pa,Thakali,1,CLICS,ths,NA,NA,NA,NA
halenepal,halenepal-Chepang,Chepang,chep1245,27.7206,84.9017,Sino-Tibetan,ROUGH,halenepal-Chepang-1677_rough-2,cek.ʔo,cek.ʔo,Chepang,1,CLICS,cdm,NA,NA,cdm,NA
halenepal,halenepal-Gurung,Gurung,guru1261,27.41687,86.28988,Sino-Tibetan,ROUGH,halenepal-Gurung-1677_rough-2,khāsroq,khāsroq,Gurung,1,CLICS,ggn; gvr,trill,https://audio-video.shanti.virginia.edu/video/gurung-man-describes-otar-village,NA,NA
halenepal,halenepal-Kaike,Kaike,kaik1246,28.853,83.1384,Sino-Tibetan,ROUGH,halenepal-Kaike-1677_rough-2,khokhsorhopā,khokhsorhopā,Kaike,1,CLICS,kzq,NA,NA,NA,NA
halenepal,halenepal-Khaling,Khaling,khal1275,27.3912,87.5053,Sino-Tibetan,ROUGH,halenepal-Khaling-1677_rough-2,ma-solāemim,ma-solāemim,Khaling,1,CLICS,klr,trill,http://www.ling.sinica.edu.tw/files/publication/j2012_6_03_7314.pdf,NA,NA
halenepal,halenepal-Kham,Kham,parb1234,None,None,Sino-Tibetan,ROUGH,halenepal-Kham-1677_rough-2,katala̩ matala̩o,katala̩_matala̩o,Kham,1,CLICS,kgj; kif; kip; kjl,NA,NA,NA,NA
halenepal,halenepal-Magar,Magar,maga1261,None,None,Sino-Tibetan,ROUGH,halenepal-Magar-1677_rough-2,us-ke,us-ke,Magar,1,CLICS,mgp,no trill,wiki,NA,NA
halenepal,halenepal-Nepali,Nepali,nepa1254,28.0,85.0,Indo-European,ROUGH,halenepal-Nepali-1677_rough-2,khasro,khasro,Nepali,1,IDS,nep,NA,"also wikipedia says ""r is always a trill""",nep,yes
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,ROUGH,halenepal-Newar-1677_rough-2,chyāka:,chyāka:,Newar,1,CLICS,new,NA,NA,new,NA
halenepal,halenepal-Sunwar,Sunwar,sunw1242,27.5201,86.2476,Sino-Tibetan,ROUGH,halenepal-Sunwar-1677_rough-2,mā silsil,mā_silsil,Sunwar,1,CLICS,suz,trill,"""A Grammar of Sunwar"". Dörte Borchers. Retrieved 27 August 2018.",NA,NA
halenepal,halenepal-SahuTamang,Tamang (Sahu),west2415,28.0239,85.0563,Sino-Tibetan,ROUGH,halenepal-SahuTamang-1677_rough-2,'phoppa,'phoppa,Tamang,1,CLICS,taj,NA,NA,taj,NA
halenepal,halenepal-Thakali,Thakali,thak1245,28.7014,83.6466,Sino-Tibetan,ROUGH,halenepal-Thakali-1677_rough-2,kyohng-pa,kyohng-pa,Thakali,1,CLICS,ths,NA,NA,NA,NA
