LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
643,kiz,Kisi,Kisi,"Kisi, Kisi",,,,,South Atlantic,,South Atlantic,-10.1,8.5,African Savannah,Africa
644,kzw,Kiriri (Kipea),"Kipea , Kariri , Cariri,  Kipea Kiriri","Kiriri (Kipea), Kipea , Kariri , Cariri,  Kipea Kiriri",,,,,Kariri,Karirian,"Kariri, Karirian",-37,-10,NE South America,S America
645,had,Hatam,Hatam,"Hatam, Hatam",,,,,Hatam,,Hatam,134,-1,N Coast New Guinea,NG and Oceania
646,xok,Xokleng,Xokleng,"Xokleng, Xokleng",,,Southern Ge,Ge,Macro-Ge,,Macro-Ge,-50,-24.5,SE South America,S America
648,bor,Bororo,Eastern Bororo,"Bororo, Eastern Bororo",,,,Bororo,Macro-Ge,,Macro-Ge,-50,-13,NE South America,S America
649,jek,Jeli,"Jeri,Jeli","Jeli, Jeri,Jeli",,,,West Mande,Mande,,Mande,-5.67,9.5,African Savannah,Africa
650,dkl,Dogon,Dogon,"Dogon, Dogon",,,,,Dogon,,Dogon,-3.5,14.33,African Savannah,Africa
651,hnh,//Ani,"/Anda,//Ani","//Ani, /Anda,//Ani",,,,Kalahari,Kwadi-Khoe,Central Khoisan,"Kwadi-Khoe, Central Khoisan",21.92,-18.92,S Africa,Africa
652,xuu,Khoe,"Kxoe , Xíé,Khoe","Khoe, Kxoe , Xíé,Khoe",,,,Kalahari,Kwadi-Khoe,Central Khoisan,"Kwadi-Khoe, Central Khoisan",22.5,-17.5,S Africa,Africa
653,nmn,!Xíµo,!Xíµo,"!Xíµo, !Xíµo",,,,,!Ui-Taa,,!Ui-Taa,26,-30,S Africa,Africa
654,ncg,Nisgha,Nisgha,"Nisgha, Nisgha",,,,,Tsimshianic,,Tsimshianic,-130,55,Alaska-Oregon,W N America
655,gup,Mayali,Mayali,"Mayali, Mayali",,,,,Gunwingguan,,Gunwingguan,133.75,-12.5,N Australia,Australia
656,khe,Korowai,Korowai,"Korowai, Korowai",,,,Awyu-Dumut,Macro-Ok,,Macro-Ok,140,-5.25,S New Guinea,NG and Oceania
658,jao,Yanyuwa,Yanyuwa,"Yanyuwa, Yanyuwa",,,,Warluwarric,Pama-Nyungan,,Pama-Nyungan,137.17,-16.42,N Australia,Australia
659,mwp,Kala Lagaw La,"Kala Lagaw La, Kalaw Lagaw Ya","Kala Lagaw La, Kala Lagaw La, Kalaw Lagaw Ya",,,,Kala Lagaw La,Pama-Nyungan,,Pama-Nyungan,142.12,-10.12,N Australia,Australia
660,bdy,Bandjalang,Bandjalang,"Bandjalang, Bandjalang",,,,Bandjalangic,Pama-Nyungan,,Pama-Nyungan,153,-28.75,S Australia,Australia
661,djj,Ndjebbana,"Gunabidji , Djeebbana,Ndjebbana","Ndjebbana, Gunabidji , Djeebbana,Ndjebbana",,,,,Gunabidjian,,Gunabidjian,134.12,-12.17,N Australia,Australia
662,apt,Apatani,Apatani,"Apatani, Apatani",,,Western Tani,Tani,Sino-Tibetan,,Sino-Tibetan,93.75,27.5,Indic,S/SE Asia
663,kac,Dulong,"Dulong , Drung","Dulong, Dulong , Drung",,,,Nungish,Sino-Tibetan,,Sino-Tibetan,103,25.5,Southeast Asia,S/SE Asia
664,kgj; kif; kip; kjl,Kham,Kham,"Kham, Kham",,,,Remnant Himalayish,Sino-Tibetan,,Sino-Tibetan,82.75,28.5,Indic,S/SE Asia
665,ynn,Yana,Yana,"Yana, Yana",,,,,Yana,,Yana,-122,40.5,California,W N America
666,xcw,Coahuiltec,"Coahuilteco,Coahuiltec","Coahuiltec, Coahuilteco,Coahuiltec",,,,,Coahuiltec,,Coahuiltec,-100,28,Basin and Plains,C America
667,tdh,Thulung (Mukli),Thulung Rai,"Thulung (Mukli), Thulung Rai",,,Midwestern Kiranti,Kiranti,Sino-Tibetan,,Sino-Tibetan,86.67,27.43,Indic,S/SE Asia
668,tlc,Totonac (Misantla),Totonac (Misantla),"Totonac (Misantla), Totonac (Misantla)",,,,,Totonac-Tepehuan,,Totonac-Tepehuan,-96.92,19.92,Mesoamerica,C America
669,kbk,Koiari,"Koiari (Grass),Koiari","Koiari, Koiari (Grass),Koiari",,,,Koiaric,Koiarian,,Koiarian,147.33,-9.5,S New Guinea,NG and Oceania
670,klj,Khalaj,"Khalaj, Chaladsch","Khalaj, Khalaj, Chaladsch",,Arghu,Oghuz,Common Turkic,Turkic,,Turkic,50,35,Greater Mesopotamia,W and SW Eurasia
672,duu,Jinghpo,Tulung,"Jinghpo, Tulung",,,Kachinic,Brahmaputran (Sal),Sino-Tibetan,,Sino-Tibetan,98.33,28,Southeast Asia,S/SE Asia
673,pbh,Panare,Panare,"Panare, Panare",,,,,Cariban,Carib,"Cariban, Carib",-66,6.5,NE South America,S America
674,lif,Limbu,Limbu,"Limbu, Limbu",Limbu,Eastern Kiranti,Central-Eastern Kiranti,Kiranti,Sino-Tibetan,,Sino-Tibetan,87.75,27.17,Indic,S/SE Asia
675,kbd,Circassian (East),"Kabardian,Circassian (East)","Circassian (East), Kabardian,Circassian (East)",Circassian,,,Circassian,West Caucasian,"Northwest Caucasian, Abkhaz-Adyghe","West Caucasian, Northwest Caucasian, Abkhaz-Adyghe",43.5,43.5,Greater Mesopotamia,W and SW Eurasia
676,kur,Kurmanjí¬,"Kurmanjí¬; Northern Kurdish, Kurmancí¬, Kirmancí¬, Kermancí¬, Kurdi, Kurdí¬","Kurmanjí¬, Kurmanjí¬; Northern Kurdish, Kurmancí¬, Kirmancí¬, Kermancí¬, Kurdi, Kurdí¬",Kurdish,Northwest Iranian,Iranian,Indo-Iranian,Indo-European,,Indo-European,42,38,Greater Mesopotamia,W and SW Eurasia
677,swe,Swedish,Swedish,"Swedish, Swedish",,,North Germanic,Germanic,Indo-European,,Indo-European,15,60,Europe,W and SW Eurasia
678,bul,Bulgarian,Bulgarian,"Bulgarian, Bulgarian",,South Slavic,Slavic,Balto-Slavic,Indo-European,,Indo-European,25,42.5,Europe,W and SW Eurasia
679,udm,Udmurt,Udmurt,"Udmurt, Udmurt",,Permian,Finno-Permian,Finno-Ugric,Uralic,,Uralic,52.5,57.5,Inner Asia,N-C Asia
680,mns,Mansi,Mansi,"Mansi, Mansi",,Ob-Ugric,Ugric,Finno-Ugric,Uralic,,Uralic,62,62,Inner Asia,N-C Asia
681,kca,Khanty,"Ostyak, Khanty (Northern)","Khanty, Ostyak, Khanty (Northern)",,Ob-Ugric,Ugric,Finno-Ugric,Uralic,,Uralic,65,65,Inner Asia,N-C Asia
682,yua,Yucatec,Yucatec,"Yucatec, Yucatec",,,,Yucatecan,Mayan,,Mayan,-89,20,Mesoamerica,C America
683,ron,Romanian,Romanian,"Romanian, Romanian",,,Italic,Italic-Celtic,Indo-European,,Indo-European,25,46,Europe,W and SW Eurasia
685,kla,Klamath,Klamath,"Klamath, Klamath",,,,Klamath-Sahaptian,Plateau Penutian,Plateau,"Plateau Penutian, Plateau",-121.5,42.5,Basin and Plains,W N America
686,dal,Dahalo,Dahalo,"Dahalo, Dahalo",,,,Southern Cushitic,Cushitic,,Cushitic,40.5,-2.33,S Africa,Africa
687,hop,Hopi,Hopi,"Hopi, Hopi",,,,Northern Uto-Aztecan,Uto-Aztecan,,Uto-Aztecan,-110,36,Basin and Plains,E N America
688,crn; cok,Cora,Cora,"Cora, Cora",,,Sonoran,Southern Uto-Aztecan,Uto-Aztecan,,Uto-Aztecan,-104.83,22.17,Mesoamerica,C America
689,,Raríçmuri,"Raríçmuri, Tarahumara","Raríçmuri, Raríçmuri, Tarahumara",,,Sonoran,Southern Uto-Aztecan,Uto-Aztecan,,Uto-Aztecan,-107.08,26.85,Mesoamerica,C America
690,nmm,Manange,"Manange, Manangba, 	Manang, Manangbhot, Manangbolt, Manange, Manangi, Northern Gurung, Nyeshang, Nyishang","Manange, Manange, Manangba, 	Manang, Manangbhot, Manangbolt, Manange, Manangi, Northern Gurung, Nyeshang, Nyishang",,,Tamangic (TGTM),Bodic,Sino-Tibetan,,Sino-Tibetan,84.01,28.4,Indic,S/SE Asia
691,bod,Tibetan (Lhasa),Tibetan (Lhasa),"Tibetan (Lhasa), Tibetan (Lhasa)",,Central Tibetan (U-Tsang),Tibetan,Bodic,Sino-Tibetan,,Sino-Tibetan,91.1,29.65,Inner Asia,N-C Asia
692,lmc,Limilngan,Limilngan,"Limilngan, Limilngan",,,,,Limilngan,,Limilngan,131.92,-12.5,N Australia,Australia
693,jap,Jarawara,Jarawara,"Jarawara, Jarawara",,,,,Arawan,Arauan,"Arawan, Arauan",-65.5,-7.5,NE South America,S America
694,sac,Fox,Fox,"Fox, Fox",,,,Algonquian,Algic,,Algic,-83,43,E North America,E N America
695,ccc,Chamicuro,Chamicuro,"Chamicuro, Chamicuro",,,,,Arawakan,Maipurean,"Arawakan, Maipurean",-75.48,-5.23,NE South America,S America
696,guc,Wayuu,"Goajiro,Wayuu (Goajiro Arawak)","Wayuu, Goajiro,Wayuu (Goajiro Arawak)",,,,Caribbean,Arawakan,Maipurean,"Arawakan, Maipurean",-72,12,NE South America,S America
697,mau,Mazateco (Huautla),"Mazatec (Huautla), Huautla Mazateco","Mazateco (Huautla), Mazatec (Huautla), Huautla Mazateco",,,,Popolocan,Otomanguean,Oto-Manguean,"Otomanguean, Oto-Manguean",-96.83,18.25,E North America,C America
699,san,Sanskrit,Sanskrit,"Sanskrit, Sanskrit",,Sanskrit,Indo-Aryan,Indo-Iranian,Indo-European,,Indo-European,77,25,Indic,S/SE Asia
700,sme,Saami (North),North Saami,"Saami (North), North Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,24,69,Inner Asia,N-C Asia
701,sma,Saami (South),South Saami,"Saami (South), South Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,11.24,62.35,Europe,W and SW Eurasia
702,smj,Saami (Lule),Lule Saami,"Saami (Lule), Lule Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,16.04,68.03,Europe,W and SW Eurasia
703,sje,Saami (Pite),Pite Saami,"Saami (Pite), Pite Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,17.54,66.03,Europe,W and SW Eurasia
704,sju,Saami (Ume),Ume Saami,"Saami (Ume), Ume Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,17.3,65.32,Europe,W and SW Eurasia
705,sms,Saami (Skolt),Skolt Saami,"Saami (Skolt), Skolt Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,29.04,69.38,Inner Asia,N-C Asia
706,smn,Saami (Inari),"Enare Saami,Inari Saami","Saami (Inari), Enare Saami,Inari Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,27.01,68.54,Inner Asia,N-C Asia
707,sjt,Saami (Ter),Ter Saami,"Saami (Ter), Ter Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,39.39,67.14,Inner Asia,N-C Asia
708,sia,Saami (Akkala),Akkala Saami,"Saami (Akkala), Akkala Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,32.45,67.3,Inner Asia,N-C Asia
709,sjd,Saami (Kildin),Kildin Saami,"Saami (Kildin), Kildin Saami",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,37,67,Inner Asia,N-C Asia
710,fao,Faroese,Faroese,"Faroese, Faroese",,,North Germanic,Germanic,Indo-European,,Indo-European,-7,62,Europe,W and SW Eurasia
711,nob,Norwegian (Bokmí«l),"Norwegian (Bokmí«l), Norwegian","Norwegian (Bokmí«l), Norwegian (Bokmí«l), Norwegian",,,North Germanic,Germanic,Indo-European,,Indo-European,10.45,59.55,Europe,W and SW Eurasia
712,nno,Norwegian (Nynorsk),Norwegian (Nynorsk),"Norwegian (Nynorsk), Norwegian (Nynorsk)",,,North Germanic,Germanic,Indo-European,,Indo-European,6.06,62.09,Europe,W and SW Eurasia
713,enf,Enets (Forest),"Yenisei Samoyed, Enets (Forest)","Enets (Forest), Yenisei Samoyed, Enets (Forest)",,,Northern Samoyedic,Samoyedic,Uralic,,Uralic,86.5,67.5,Inner Asia,N-C Asia
714,nrn,Shetland Norn,Shetland Norn,"Shetland Norn, Shetland Norn",,,North Germanic,Germanic,Indo-European,,Indo-European,-1.09,60.09,Europe,W and SW Eurasia
715,gla,Scottish Gaelic,Scottish Gaelic,"Scottish Gaelic, Scottish Gaelic",,,Celtic,Italic-Celtic,Indo-European,,Indo-European,-4,57,Europe,W and SW Eurasia
716,yrk,Nenets (Forest),Forest Nenets,"Nenets (Forest), Forest Nenets",,,Northern Samoyedic,Samoyedic,Uralic,,Uralic,65.31,57.09,Inner Asia,N-C Asia
717,koi,Komi (Permyak),Komi (Permyak),"Komi (Permyak), Komi (Permyak)",,Permian,Finno-Permian,Finno-Ugric,Uralic,,Uralic,54.5,59.5,Inner Asia,N-C Asia
718,pao,Paiute (Northern),Northern Paiute,"Paiute (Northern), Northern Paiute",,,Numic,Northern Uto-Aztecan,Uto-Aztecan,,Uto-Aztecan,-118,42,Basin and Plains,E N America
719,kim,Tofa (Karagas),Tofa (Karagas),"Tofa (Karagas), Tofa (Karagas)",,Siberian,Northern Turkish,Common Turkic,Turkic,,Turkic,98,53.75,Inner Asia,N-C Asia
720,kgy,Tibetan (Kyirong),"Kyerung,Tibetan (Kyirong)","Tibetan (Kyirong), Kyerung,Tibetan (Kyirong)",,Central Tibetan (U-Tsang),Tibetan,Bodic,Sino-Tibetan,,Sino-Tibetan,85.16,28.28,Indic,S/SE Asia
722,cng,Qiang,Qiang,"Qiang, Qiang",,,,Qiangic,Sino-Tibetan,,Sino-Tibetan,102.67,32,Southeast Asia,S/SE Asia
723,bod,Tibetan (Dege),Tibetan (Dege),"Tibetan (Dege), Tibetan (Dege)",,Eastern Kham Tibetan,Tibetan,Bodic,Sino-Tibetan,,Sino-Tibetan,98.4,31.5,Inner Asia,N-C Asia
724,taj,Tamang (Eastern),Tamang,"Tamang (Eastern), Tamang",,,Tamangic (TGTM),Bodic,Sino-Tibetan,,Sino-Tibetan,85.25,28,Indic,S/SE Asia
725,ita,Italian,"Italiano,Italian","Italian, Italiano,Italian",,,Italic,Italic-Celtic,Indo-European,,Indo-European,12,43,Europe,W and SW Eurasia
726,cat,Catalan (Standard),"Catalíæ , BacavíÂs , Catalonian,Catalan, Central Catalan","Catalan (Standard), Catalíæ , BacavíÂs , Catalonian,Catalan, Central Catalan",,,Italic,Italic-Celtic,Indo-European,,Indo-European,2,41.75,Europe,W and SW Eurasia
727,srd,Sardinian,Sardinian,"Sardinian, Sardinian",,,Italic,Italic-Celtic,Indo-European,,Indo-European,9,40,Europe,W and SW Eurasia
728,kzq,Kaike,Kaike,"Kaike, Kaike",,,Tamangic (TGTM),Bodic,Sino-Tibetan,,Sino-Tibetan,83.05,29.1,Indic,S/SE Asia
729,mgp,Magar,Magar,"Magar, Magar",,,,Remnant Himalayish,Sino-Tibetan,,Sino-Tibetan,83.59,28.83,Indic,S/SE Asia
730,ths,Thakali,Thakali,"Thakali, Thakali",,,Tamangic (TGTM),Bodic,Sino-Tibetan,,Sino-Tibetan,83.75,29,Indic,S/SE Asia
732,ett,Etruscan,Etruscan,"Etruscan, Etruscan",,,,,Etruscan,,Etruscan,11,43.42,Europe,W and SW Eurasia
733,xtz,Tasmanian,Tasmanian,"Tasmanian, Tasmanian",,,,,Tasmanian,,Tasmanian,146.5,-42.17,S Australia,Australia
734,dlc,Dalska,"í‹lvdalska, Elfdalska, Dalmí«l, Dalecarlian,Dalska","Dalska, í‹lvdalska, Elfdalska, Dalmí«l, Dalecarlian,Dalska",,,North Germanic,Germanic,Indo-European,,Indo-European,14.07,61.22,Europe,W and SW Eurasia
735,rji,Raji,"Rajibar,Raji","Raji, Rajibar,Raji",,,,Raji,Sino-Tibetan,,Sino-Tibetan,81.16,28.44,Indic,S/SE Asia
736,tbc,Takia,Takia,"Takia, Takia",North New Guinea linkage,Western Oceanic linkage,Oceanic,Malayo-Polynesian,Austronesian,,Austronesian,146,-4.67,N Coast New Guinea,NG and Oceania
737,sbe,Saliba,Saliba,"Saliba, Saliba",Papuan Tip,Western Oceanic linkage,Oceanic,Malayo-Polynesian,Austronesian,,Austronesian,150.72,-10.58,S New Guinea,NG and Oceania
738,eve,Even,"Even, Lamut","Even, Even, Lamut",,,Northeastern Tungusic,Northern Tungusic,Tungusic,,Tungusic,130,68,Inner Asia,N-C Asia
739,kqz,Korana,"Koranna,Korana, !ora","Korana, Koranna,Korana, !ora",,,,Khoekhoe,Kwadi-Khoe,Central Khoisan,"Kwadi-Khoe, Central Khoisan",20.5,-29.5,S Africa,Africa
740,kik,Kikuyu,"Gikuyu , Gekoyo,Kikuyu","Kikuyu, Gikuyu , Gekoyo,Kikuyu",,,Bantu (narrow),Bantoid,Benue-Congo,,Benue-Congo,36.75,-0.75,S Africa,Africa
741,run,Rundi,"Kirundi , Urundi,Rundi","Rundi, Kirundi , Urundi,Rundi",,,Bantu (narrow),Bantoid,Benue-Congo,,Benue-Congo,30,-3.5,S Africa,Africa
742,mor,Moro,"Dhimorong,Moro","Moro, Dhimorong,Moro",,,,,Kordofanian,,Kordofanian,30.17,11,African Savannah,Africa
743,tic,Tiro,"Tira , Thiro , Lithiro,Tiro","Tiro, Tira , Thiro , Lithiro,Tiro",,,,,Kordofanian,,Kordofanian,30.41,10.68,African Savannah,Africa
744,nyi,Nyimang,"Ama,Nyimang","Nyimang, Ama,Nyimang",,,,,Nyima,,Nyima,29.33,12.17,African Savannah,Africa
745,aid,Anguthimri,Anguthimri,"Anguthimri, Anguthimri",,,Northern Pama,Paman,Pama-Nyungan,,Pama-Nyungan,141.83,-12.33,N Australia,Australia
746,ado,Arapesh (Abu),"Arapesh (Abu), But Arapesh, Weri","Arapesh (Abu), Arapesh (Abu), But Arapesh, Weri",,,Arapesh,Kombio,Torricelli,,Torricelli,142.95,-3.45,N Coast New Guinea,NG and Oceania
747,,Ayomíçn,Ayomíçn,"Ayomíçn, Ayomíçn",,,,,Jirajaran,,Jirajaran,-69,11,NE South America,S America
748,aze,Azerbaijani,Azerbaijani,"Azerbaijani, Azerbaijani",,,Oghuz,Common Turkic,Turkic,,Turkic,48.5,40.5,Greater Mesopotamia,W and SW Eurasia
749,,Bahuana,Bahuana,"Bahuana, Bahuana",,,,North Amazonian,Arawakan,Maipurean,"Arawakan, Maipurean",-62.5,-0.5,NE South America,S America
750,,Berber (Figuig),Berber (Figuig),"Berber (Figuig), Berber (Figuig)",Berber,,,,Berber,,Berber,-1.5,32.5,N Africa,Africa
751,,Betoi,Betoi,"Betoi, Betoi",,,,,Betoi,,Betoi,-71.25,7.17,NE South America,S America
752,adi,Bokar,Bokar,"Bokar, Bokar",,,Eastern Tani,Tani,Sino-Tibetan,,Sino-Tibetan,94.67,28.5,Indic,S/SE Asia
753,adi,Bori,Bori,"Bori, Bori",,,Western Tani,Tani,Sino-Tibetan,,Sino-Tibetan,94.75,28.33,Indic,S/SE Asia
754,bgg,Bugun,Bugun,"Bugun, Bugun",,,,Greater Sherdukpen,Sino-Tibetan,,Sino-Tibetan,92.58,27.5,Indic,S/SE Asia
755,yil,Bularnu,Bularnu,"Bularnu, Bularnu",,,,Warluwarric,Pama-Nyungan,,Pama-Nyungan,138,-21,S Australia,Australia
756,ram,Canela,"Canela, Kanela","Canela, Canela, Kanela",,Northern Ge,Amazonian Ge,Ge,Macro-Ge,,Macro-Ge,-45,-6,NE South America,S America
757,,Chasta Costa,Chasta Costa,"Chasta Costa, Chasta Costa",,,,Athabaskan,Na-Dene,,Na-Dene,-124,42.67,California,W N America
758,xch,Chemakum,Chemakum,"Chemakum, Chemakum",,,,,Chimakuan,,Chimakuan,-122.92,48.08,Alaska-Oregon,W N America
759,,Colac,Colac,"Colac, Colac",,,,Kulinic,Pama-Nyungan,,Pama-Nyungan,143.5,-38.33,S Australia,Australia
760,xcm,Comecrudo,Comecrudo,"Comecrudo, Comecrudo",,,,,Comecrudan,,Comecrudan,-99,25.83,Mesoamerica,C America
761,css,Costanoan,Costanoan,"Costanoan, Costanoan",,Costanoan,Miwok-Costanoan,Utian,Yokuts-Utian,,Yokuts-Utian,-122,37,California,W N America
762,,Cuica,"Cuica, Timotí©, Timotí©-Cuica","Cuica, Cuica, Timotí©, Timotí©-Cuica",,,,Timotean,Macro-Ge,,Macro-Ge,-70.5,9,NE South America,S America
763,doc; kmc,Dong,Dong,"Dong, Dong",,,,,Tai-Kadai,,Tai-Kadai,109,27,Southeast Asia,S/SE Asia
764,,Esmeralda,"Esmeraldeí±o, Esmeralda, Tacame, Atacame","Esmeralda, Esmeraldeí±o, Esmeralda, Tacame, Atacame",,,,,Esmeralda,"Tacame, Esmeraldeí±o, Atacame","Esmeralda, Tacame, Esmeraldeí±o, Atacame",-79.83,0.33,Andean,S America
765,opt,Eudeve,Eudeve,"Eudeve, Eudeve",,,Sonoran,Southern Uto-Aztecan,Uto-Aztecan,,Uto-Aztecan,-109.67,29.17,Mesoamerica,C America
766,frr; frs; fry,Frisian,Frisian,"(Frisian), Frisian",,Frisian,West Germanic,Germanic,Indo-European,,Indo-European,5,53,Europe,W and SW Eurasia
767,adl,Gallong,"Gallong, Adi, Adi-Gallong, Adi-Galo, Gallong, Galong","Gallong, Gallong, Adi, Adi-Gallong, Adi-Galo, Gallong, Galong",,,Western Tani,Tani,Sino-Tibetan,,Sino-Tibetan,94.67,28.17,Indic,S/SE Asia
769,,Guaque,Guaque,"Guaque, Guaque",,,,,Cariban,Carib,"Cariban, Carib",-72.08,1,NE South America,S America
770,,Sign Language Hong Kong,Sign Language Hong Kong,"Sign Language Hong Kong, Sign Language Hong Kong",,,,,Sign Language Hong Kong,,Sign Language Hong Kong,114,22.5,Southeast Asia,S/SE Asia
773,,Juat,Juat,"Juat, Juat",,,Nyungic,Southwestern Pama-Nyungan,Pama-Nyungan,,Pama-Nyungan,115.5,-31,S Australia,Australia
774,zkk,Karankawa,Karankawa,"Karankawa, Karankawa",,,,,Karankawa,,Karankawa,-97,28,Basin and Plains,E N America
775,zku,Kaurna,Kaurna,"Kaurna, Kaurna",,,Yura,Southwestern Pama-Nyungan,Pama-Nyungan,,Pama-Nyungan,138.5,-34.25,S Australia,Australia
776,bwv; knh; ubm; xkl; xkm; xky; mqd; sib; boc; ttw; wkh; puj;,Kenyah (Umaí_ Lung),Kenyah (Umaí_ Lung),"Kenyah (Umaí_ Lung), Kenyah (Umaí_ Lung)",,,Western Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,,Austronesian,115.83,3,Southeast Asia,S/SE Asia
777,zko,Kott,Kott,"Kott, Kott",,,,,Yeniseian,,Yeniseian,94,57,Inner Asia,N-C Asia
778,rop,Kriol (Fitzroy Crossing),Kriol (Fitzroy Crossing),"Kriol (Fitzroy Crossing), Kriol (Fitzroy Crossing)",,,,,Kriol (Fitzroy Crossing),,Kriol (Fitzroy Crossing),125.58,-18.17,N Australia,Australia
779,,Kuala,Kualan,"Kuala, Kualan",,Malayan / Malayic,Western Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,,Austronesian,110.42,-0.42,Southeast Asia,S/SE Asia
780,xwa,Kwazíç,"Kwaza, Koaia, Kwazíç, Arara","Kwazíç, Kwaza, Koaia, Kwazíç, Arara",,,,,Kwaza,,Kwaza,-60.67,-12.58,NE South America,S America
781,,Lughat al-Isharat al-Lubnaniya,Lughat al-Isharat al-Lubnaniya,"Lughat al-Isharat al-Lubnaniya, Lughat al-Isharat al-Lubnaniya",,,,,Lughat al-Isharat al-Lubnaniya,,Lughat al-Isharat al-Lubnaniya,35.83,34,Greater Mesopotamia,W and SW Eurasia
782,,Lule,Lule,"Lule, Lule",,,,Lule,Lule-Vilela,,Lule-Vilela,-64,-28,SE South America,S America
783,,Madimadi,Madimadi,"Madimadi, Madimadi",,,,Kulinic,Pama-Nyungan,,Pama-Nyungan,143.5,-34.5,S Australia,Australia
784,,Maipure,Maipure,"Maipure, Maipure",,,,,Arawakan,Maipurean,"Arawakan, Maipurean",-67.5,5.5,NE South America,S America
785,yab,Míçko,"Míçku, Míçko, Maco, Macu, Makí_","Míçko, Míçku, Míçko, Maco, Macu, Makí_",,,,,Míçko,,Míçko,-69.83,0.42,NE South America,S America
786,rnp,Marchha,Marchha,"Marchha, Marchha",,,Greater Kinnauri,West Himalayish,Sino-Tibetan,,Sino-Tibetan,79.58,30.25,Indic,S/SE Asia
787,mnt,Mayi-Yapi,Mayi-Yapi,"Mayi-Yapi, Mayi-Yapi",,,Mayabic,Paman,Pama-Nyungan,,Pama-Nyungan,141,-20,N Australia,Australia
788,vmb,Mbabaram,Mbabaram,"Mbabaram, Mbabaram",,,Southern Pama,Paman,Pama-Nyungan,,Pama-Nyungan,145,-17.17,N Australia,Australia
789,adi,Milang,Milang,"Milang, Milang",,,Eastern Tani,Tani,Sino-Tibetan,,Sino-Tibetan,95.25,28.5,Indic,S/SE Asia
790,omc,Mochica,"Mochica,  Chimí_, Yunga, Yunca, Muchic","Mochica, Mochica,  Chimí_, Yunga, Yunca, Muchic",,,,,Mochica,"Mochica, Chimuan","Mochica, Mochica, Chimuan",-79.33,-7.5,Andean,S America
791,mon,Khamnigan,Mongol (Khamnigan),"Khamnigan, Mongol (Khamnigan)",,,,,Mongolic,Mongolian,"Mongolic, Mongolian",117,49,Inner Asia,N-C Asia
792,,Nahuatl (Huauchinango),Nahuatl (Huauchinango),"Nahuatl (Huauchinango), Nahuatl (Huauchinango)",,,Aztecan,Southern Uto-Aztecan,Uto-Aztecan,,Uto-Aztecan,-98.08,20.17,Mesoamerica,C America
793,,Nahuatl (Milpa Alta),Nahuatl (Milpa Alta),"Nahuatl (Milpa Alta), Nahuatl (Milpa Alta)",,,Aztecan,Southern Uto-Aztecan,Uto-Aztecan,,Uto-Aztecan,-99.17,19.25,Mesoamerica,C America
794,,Nahuatl (Pochutla),Nahuatl (Pochutla),"Nahuatl (Pochutla), Nahuatl (Pochutla)",,,Aztecan,Southern Uto-Aztecan,Uto-Aztecan,,Uto-Aztecan,-96.5,15.75,Mesoamerica,C America
795,yia,Nhanda,Nhanda,"Nhanda, Nhanda",,,Kartu,Southwestern Pama-Nyungan,Pama-Nyungan,,Pama-Nyungan,114.17,-27,S Australia,Australia
796,puq,Puquina,Puquina,"Puquina, Puquina",,,,,Puquina,"Puquina-Collahuaya, Puquina-Callahuaya","Puquina, Puquina-Collahuaya, Puquina-Callahuaya",-68.5,-16.5,Andean,S America
797,quh,Quechua (Bolivian),Quechua (Bolivian),"Quechua (Bolivian), Quechua (Bolivian)",,,,,Quechuan,,Quechuan,-66,-20,Andean,S America
798,,Romani (Sepecides),Romani (Sepecides),"Romani (Sepecides), Romani (Sepecides)",Romani,Central Indo-Aryan,Indo-Aryan,Indo-Iranian,Indo-European,,Indo-European,27,38.25,Greater Mesopotamia,W and SW Eurasia
799,,Russian-Chinese Pidgin,aka Birobidjan,"Russian-Chinese Pidgin, aka Birobidjan",,,,,Russian-Chinese Pidgin,Birobidjan,"Russian-Chinese Pidgin, Birobidjan",132.95,48.8,Inner Asia,N-C Asia
800,wee; wen,Sorbian,Sorbian,"Sorbian, Sorbian",,West Slavic,Slavic,Balto-Slavic,Indo-European,,Indo-European,14,51.5,Europe,W and SW Eurasia
