Language,AutotypMatch,Dataset,family_name,macroarea,latitude,longitude
Poleo,tlr,CLICS,Austronesian,Papunesia,NA,NA
Wotu,wtw,CLICS,Austronesian,Papunesia,-2.59593,120.9
Laiyolo,lji,CLICS,Austronesian,Papunesia,NA,NA
Kia,kji,CLICS,Austronesian,Papunesia,-7.74311,158.753
Oroha,ora,CLICS,Austronesian,Papunesia,-9.7386,161.513
Malango,mln,CLICS,Austronesian,Papunesia,-9.61383,160.118
Kahua,agw,CLICS,Austronesian,Papunesia,-10.6963,162.191
Santa Ana,stn,CLICS,Austronesian,Papunesia,NA,NA
Lengo,lgr,CLICS,Austronesian,Papunesia,-9.56425,160.42
Mbirao,brr,CLICS,Austronesian,Papunesia,-9.73716,160.52
Kamaru 2,kgx,CLICS,Austronesian,Papunesia,-5.15696,123.045
Ergong (Danba),ero,CLICS,Sino-Tibetan,Eurasia,31.1026,101.72
Vaghua,tva,CLICS,Austronesian,Papunesia,-6.68712,156.542
Reefs,ntu,CLICS,Austronesian,Papunesia,-10.6771,165.835
Kusaghe,ksg,CLICS,Austronesian,Papunesia,-8.04056,157.463
Marovo,mvo,CLICS,Austronesian,Papunesia,-8.37943,157.747
Nduke,nke,CLICS,Austronesian,Papunesia,-7.97768,157.064
Simbo,sbb,CLICS,Austronesian,Papunesia,-8.26947,156.541
Ughele,uge,CLICS,Austronesian,Papunesia,-8.45725,157.341
Vangunu,mpr,CLICS,Austronesian,Papunesia,-8.66826,157.997
Ririo,rri,CLICS,Austronesian,Papunesia,-6.88927,156.92
"South Mambae, Letefoho",mgm,CLICS,Austronesian,Papunesia,-9.19552,125.475
Kulisusu,vkl,CLICS,Austronesian,Papunesia,-4.58411,123.045
Kaimbulawa,zka,CLICS,Austronesian,Papunesia,-5.65447,122.538
Vano,vnk,CLICS,Austronesian,Papunesia,-11.6107,166.7984
Muya [Minyak],mvm,CLICS,Sino-Tibetan,Eurasia,29.8226,102.205
Dadu'a,ilu,CLICS,Austronesian,Papunesia,NA,NA
Mbaengguu,bvd,CLICS,Austronesian,Papunesia,-8.49014,160.771
Naxi,nxq,CLICS,Sino-Tibetan,Eurasia,27.5,100
Guiqiong,gqi,CLICS,Sino-Tibetan,Eurasia,30.4803,102.128
Namuyi,nmy,CLICS,Sino-Tibetan,Eurasia,28.5909,101.898
So'a,ssq,CLICS,Austronesian,Papunesia,-8.6778,121.04764
Ende,end,CLICS,Austronesian,Papunesia,-8.70998,121.555
Daai,dao,CLICS,Sino-Tibetan,Eurasia,20.7347,93.7853
Ngmüün,mwq,CLICS,Sino-Tibetan,Eurasia,20.289,94.3929
"Kioko, Bonegunu",ues,CLICS,Austronesian,Papunesia,NA,NA
Tshona (Mama),twm,CLICS,Sino-Tibetan,Eurasia,27.7855,91.374
Tebul_Ure,dtu,CLICS,Dogon,Africa,14.66,-3.1
Kais,kzm,CLICS,South Bird's Head Family,Papunesia,-1.78077,132.312
Anuta,aud,CLICS,Austronesian,Papunesia,-11.61,169.85
Dhadhaje,bgt,CLICS,Austronesian,Papunesia,-8.47948,159.802
Patipi,oni,CLICS,Austronesian,Papunesia,NA,NA
Kilokaka,jaj,CLICS,Austronesian,Papunesia,-8.18719,159.255
Rikou,rgu,CLICS,Austronesian,Papunesia,-10.5515,123.311
"Awyu, South (Syiagha Dialect)",aws,CLICS,Nuclear Trans New Guinea,Papunesia,-7.36301,139.538
"Kemberano, Kalitami",bzp,CLICS,South Bird's Head Family,Papunesia,-2.24495,132.988
Mbaelelea,bvc,CLICS,Austronesian,Papunesia,-8.41627,160.721
Atsi [Zaiwa],atb,CLICS,Sino-Tibetan,Eurasia,24.1726,98.3643
Bauro (1),bxa,CLICS,Austronesian,Papunesia,-10.5826,161.863
Puragi,pru,CLICS,South Bird's Head Family,Papunesia,-2.05779,132.304
Queyu (Yajiang) [Zhaba],qvy,CLICS,Sino-Tibetan,Eurasia,30.3113,100.813
Matu,hlt,CLICS,Sino-Tibetan,Eurasia,23.312,92.83
Ersu,ers,CLICS,Sino-Tibetan,Eurasia,29.2867,102.213
Northern Pashto,pbu,CLICS,Indo-European,Eurasia,34,71.33
