ID,Name,Parameter,Language,Frequency,Confidence,References
ids-37-15-770-1,bitii,SMOOTH,Botlikh,,,
ids-38-15-770-1,bitiissu,SMOOTH,Godoberi,,,
ids-316-15-770-2,bitiunnivi,SMOOTH,Andi (Muni dialect),,,
ids-31-15-770-1,bitiurab,SMOOTH,Avar (Karakh dialect),,,
ids-524-15-770-1,biuchia,SMOOTH,Lak (Arakul dialect),,,
ids-526-15-770-1,biuvchiussa,SMOOTH,Lak (Shali dialect),,,
ids-420-15-770-1,blak8,SMOOTH,Lakkia,,,
tryonsolomon-blablanga-250_smooth-1,blelu,SMOOTH,Blablanga,,,
lexirumah-kema1243-kaila-smooth-1,b@lobon,SMOOTH,"Kemak, Kailaku",,,
lexirumah-alor1247-munas-smooth-2,bloho,SMOOTH,"Alorese, Munaseli",,,
suntb-MojiangYi-882_smooth-1,bo21,SMOOTH,Yi (Mojiang),,,
hantganbangime-Bunoge-241_smooth-1,borallaga,SMOOTH,Bunoge,,,
lexirumah-galo1243-smooth-1,brena,SMOOTH,Galolen,,,
northeuralex-ddo-493_smooth-1,bujaesi,SMOOTH,Tsez,,,
hantganbangime-Tiranige_Diga-241_smooth-1,burada,SMOOTH,Tiranige_Diga,,,
wold-Oroqen-1039_smooth-1,burtsurin,SMOOTH,Oroqen,,,
diacl-58200-149_smooth-1,calcam,SMOOTH,Lezgian,,,
ids-50-15-770-1,chahchub,SMOOTH,Tindi,,,
ids-502-15-770-1,chanchu,SMOOTH,Chamalal (Gigatli dialect),,,
ids-425-15-770-1,chi35pje42,SMOOTH,Qau Kelao,,,
wold-Yaqui-1039_smooth-1,chitabetalai,SMOOTH,Yaqui,,,
ids-410-15-770-3,cho1,SMOOTH,Shan (Northern Shan dialect),,,
ids-534-15-770-1,chulattut,SMOOTH,Archi (variety 2),,,
ids-62-15-770-1,chulattut,SMOOTH,Archi (variety 1),,,
wold-ZinacantanTzotzil-1039_smooth-1,chulul,SMOOTH,Zinacantán Tzotzil,,,
halenepal-Nepali-1676_smooth-1,cilla,SMOOTH,Nepali,,,
ids-706-15-770-1,ciplo,SMOOTH,Nepali,,,
halenepal-Gurung-1676_smooth-1,ciqllo,SMOOTH,Gurung,,,
ids-278-15-770-1,ciro,SMOOTH,Catuquina,,,
ids-159-15-770-2,coskit,SMOOTH,Udmurt,,,
wold-Archi-1039_smooth-1,cula,SMOOTH,Archi,,,
halenepal-Newar-1676_smooth-1,culu,SMOOTH,Newar,,,
ids-258-15-770-1,cuwin,SMOOTH,Aguaruna,,,
halenepal-Thakali-1676_smooth-1,cyahmpa,SMOOTH,Thakali,,,
hantganbangime-Jenaama-241_smooth-1,daatana,SMOOTH,Jenaama,,,
tryonsolomon-kwaraae-250_smooth-1,dad,SMOOTH,Kwara'ae,,,
tryonsolomon-langalanga-250_smooth-1,dada,SMOOTH,Langalanga,,,
tryonsolomon-launorth-250_smooth-1,dada,SMOOTH,Lau North,,,
tryonsolomon-launorth-250_smooth-2,dadala,SMOOTH,Lau North,,,
tryonsolomon-dorio-250_smooth-1,dadaraa,SMOOTH,Dori'o,,,
naganorgyalrongic-JinchuanErkairGyalrong-886_levelandsmooth-1,dahrnaet,SMOOTH,rGyalrong (Jinchuan Erkai),,,
lexirumah-p-mala1545-acd-smooth-1,dalit,SMOOTH,proto-MP-ACD,,,
lexirumah-sawi1256-smooth-1,daluka,SMOOTH,Sawila,,,
marrisonnaga-Lushai-691_smooth-1,dam,SMOOTH,Lushai,,,
hubercolumbian-Cuiba-334_smooth-2,damei,SMOOTH,Cuiba,,,
lexirumah-west2547-welaun-smooth-1,darat,SMOOTH,Welaun,,,
tryonsolomon-fataleka-250_smooth-1,dedema,SMOOTH,Fataleka,,,
wold-Sakha-1039_smooth-1,dekhsi,SMOOTH,Sakha,,,
tls-Kimochiunn-1247_smooth-1,dendekeri,SMOOTH,Kimochi.unn,,,
