ID,Name,Parameter,Language,Frequency,Confidence,References
ids-276-15-760-1,deboda,ROUGH,Tacana,,,
ids-276-15-760-3,deoda,ROUGH,Tacana,,,
ids-500-15-760-1,dered,ROUGH,Aghul (Koshan dialect),,,
ids-826-15-760-1,djon43djw41,ROUGH,Malieng,,,
lexirumah-ngad1267-rough-1,dogod@gi,ROUGH,Ngadha,,,
ids-214-15-760-1,dorost,ROUGH,Persian,,,
ids-202-15-760-1,drsny,ROUGH,Czech,,,
lexirumah-tiii1241-rough-2,dukuleu,ROUGH,Tii,,,
lexirumah-kira1248-rough-1,dulananga,ROUGH,Kiraman,,,
lexirumah-kuii1253-rough-1,dulananga,ROUGH,"Kui, Labaing",,,
robinsonap-kui-235_rough-1,dulananga,ROUGH,Kui,,,
wold-SeliceRomani-1038_rough1-1,durvavo,ROUGH,Selice Romani,,,
ids-30-15-760-1,dzhadab,ROUGH,Avar (Zakataly dialect),,,
ids-128-15-760-1,epaetasainen,ROUGH,Finnish,,,
ids-291-15-760-1,eraasi,ROUGH,Sirionó,,,
ids-131-15-760-1,erdes,ROUGH,Hungarian,,,
lexirumah-abui1241-fuime-rough-1,fikda,ROUGH,"Abui, Fuimelang",,,
lexirumah-tetu1245-suai-rough-1,fukunmakaas,ROUGH,"Tetun, Suai",,,
ids-838-15-760-1,ga1fi@wkanar,ROUGH,Iduh,,,
lexirumah-lama1277-adona-rough-1,gaak,ROUGH,Adonara Lamaholot,,,
ids-166-15-760-1,gaba,ROUGH,Azerbaijani (Terekeme dialect),,,
ids-268-15-760-1,galuhi,ROUGH,Yavitero,,,
hantganbangime-Toro_Tegu-212_rough-1,gansu,ROUGH,Toro_Tegu,,,
lexirumah-p-mala1545-acd-rough-1,garang,ROUGH,proto-MP-ACD,,,
ids-56-15-760-1,garapiarassa,ROUGH,Lak,,,
ids-180-15-760-1,garb,ROUGH,Old Irish,,,
ids-181-15-760-1,garbh,ROUGH,Irish,,,
ids-182-15-760-1,garw,ROUGH,Welsh,,,
lexirumah-remb1250-rough-1,gas,ROUGH,Rembong,,,
ids-528-15-760-1,gialkidy,ROUGH,Rutul (Ikhrek dialect),,,
ids-192-15-760-6,girob,ROUGH,Old High German,,,
lexirumah-ngao1245-oja-rough-1,g@ja,ROUGH,"Nga'o, Oja",,,
lexirumah-ngao1245-watum-rough-1,g@ja,ROUGH,"Nga'o, Watumite",,,
lexirumah-sika1262-tanai-rough-1,glarang,ROUGH,"Sika, Tana Ai",,,
lexirumah-sika1262-tanai-rough-2,glorongglarat,ROUGH,"Sika, Tana Ai",,,
ids-827-15-760-1,gnbzonb,ROUGH,Ahlao Th,,,
ids-819-15-760-1,go43ge43,ROUGH,LiHa,,,
ids-816-15-760-1,goghe,ROUGH,Vietnamese,,,
ids-200-15-760-1,grapav,ROUGH,Bulgarian,,,
ids-217-15-760-1,grof,ROUGH,Negerhollands,,,
wold-LowerSorbian-1038_rough1-1,gropny,ROUGH,Lower Sorbian,,,
lexirumah-lama1277-kalik-rough-1,grosing,ROUGH,"Central Lembata, Kalikasa",,,
ids-200-15-760-2,grub,ROUGH,Bulgarian,,,
ids-204-15-760-1,grubyj,ROUGH,Russian,,,
ids-530-15-760-2,guirmetsyzdy,ROUGH,Rutul (Shinaz dialect),,,
ids-66-15-760-2,guirmetsyzdy,ROUGH,Rutul,,,
ids-316-15-760-1,gvantii,ROUGH,Andi (Muni dialect),,,
marrisonnaga-WrittenTibetan-617_rough-1,gyonpo,ROUGH,Tibetan (Written),,,
lexirumah-rett1240-rough-1,hahi,ROUGH,"Reta, Pura",,,
lexirumah-rett1240-hula-rough-1,hahi,ROUGH,"Reta, Hula",,,
ids-289-15-760-1,haimbe,ROUGH,Chiriguano,,,
wold-Gawwada-1038_rough1-1,hasasa,ROUGH,Gawwada,,,
