color,contribution_pk,count_concepts,description,family_glottocode,family_name,glottocode,id,jsondata,latitude,longitude,macroarea,markup_description,name,pk
#BD51CC,30,39,NA,NA,East Bird's Head,meya1236,transnewguineaorg-meyah-akrin,{},-1.18016,133.618,Papunesia,NA,Meyah (Akrin Dialect),2440
#BD51CC,30,39,NA,NA,East Bird's Head,meya1236,transnewguineaorg-meyah-anason,{},-1.18016,133.618,Papunesia,NA,Meyah (Anason Dialect),2441
#BD51CC,30,38,NA,NA,East Bird's Head,meya1236,transnewguineaorg-meyah-etskebi,{},-1.18016,133.618,Papunesia,NA,Meyah (Etskebi Dialect),2442
#BD51CC,30,39,NA,NA,East Bird's Head,meya1236,transnewguineaorg-meyah-miun,{},-1.18016,133.618,Papunesia,NA,Meyah (Miun Dialect),2443
#BD51CC,30,39,NA,NA,East Bird's Head,meya1236,transnewguineaorg-meyah-mumbrani,{},-1.18016,133.618,Papunesia,NA,Meyah (Mumbrani Dialect),2444
#CC5151,30,84,NA,NA,Nuclear Trans New Guinea,mian1256,transnewguineaorg-mian,{},-4.70881,141.523,Papunesia,NA,Mian,2445
#CC5151,26,296,NA,NA,Nuclear Trans New Guinea,mian1254,zgraggenmadang-miani,{},-4.42116,145.276,Papunesia,NA,miani,3103
#CC5151,30,286,NA,NA,Nuclear Trans New Guinea,mian1254,transnewguineaorg-miani,{},-4.42116,145.276,Papunesia,NA,Miani,2446
#51CCCC,17,138,NA,NA,Indo-European,midd1359,diacl-38400,{},NA,NA,NA,NA,Middle Breton,423
#338080,17,7,NA,NA,Sino-Tibetan,midd1344,diacl-68423,{},34.27,108.9,Eurasia,NA,Middle Chinese,622
#51CCCC,17,186,NA,NA,Indo-European,midd1321,diacl-41900,{},NA,NA,Eurasia,NA,Middle Dutch,452
#51CCCC,17,183,NA,NA,Indo-European,midd1317,diacl-42000,{},NA,NA,Eurasia,NA,Middle English,453
#51CCCC,4,1260,NA,NA,Indo-European,midd1317,ids-189,{},NA,NA,Eurasia,NA,Middle English,804
#51CCCC,17,110,NA,NA,Indo-European,midd1316,diacl-53800,{},NA,NA,NA,NA,Middle French,544
#51CCCC,17,103,NA,NA,Indo-European,anci1242,diacl-43100,{},39.8155,21.9129,Eurasia,NA,Middle Greek,464
#51CCCC,17,188,NA,NA,Indo-European,midd1343,diacl-42100,{},NA,NA,Eurasia,NA,Middle High German,454
#51CCCC,4,1280,NA,NA,Indo-European,midd1343,ids-193,{},NA,NA,Eurasia,NA,Middle High German,808
#51CCCC,17,14,NA,NA,Indo-European,midd1360,diacl-39600,{},NA,NA,NA,NA,Middle Irish,433
#51CCCC,17,184,NA,NA,Indo-European,midd1318,diacl-42200,{},NA,NA,Eurasia,NA,Middle Low German,455
#51CCCC,17,120,NA,NA,Indo-European,pahl1241,diacl-52000,{},NA,NA,Eurasia,NA,Middle Persian,528
#51CCCC,17,145,NA,NA,Indo-European,midd1363,diacl-38600,{},NA,NA,NA,NA,Middle Welsh,424
#803333,16,215,NA,NA,Austronesian,midi1237,lexirumah-midi1237,{},NA,NA,Papunesia,NA,Midiki,1399
#805033,18,791,NA,NA,Hmong-Mien,iumi1238,chenhmongmien-Mien,{},20.83,101.17,Eurasia,NA,Mien,276
#CC5151,30,178,NA,NA,Nuclear Trans New Guinea,miga1241,transnewguineaorg-migabac,{},-6.33237,147.713,Papunesia,NA,Migabac,2447
#CC5151,26,262,NA,NA,Nuclear Trans New Guinea,kolo1267,zgraggenmadang-migum,{},-5.57832,146.212,Papunesia,NA,migum,3104
#CC5151,30,252,NA,NA,Nuclear Trans New Guinea,kolo1267,transnewguineaorg-migum,{},-5.57832,146.212,Papunesia,NA,Migum,2448
#338080,12,300,NA,NA,Sino-Tibetan,miji1239,abrahammonpa-MijiNafra,{},NA,NA,NA,NA,Miji Nafra,11
#338080,19,564,NA,NA,Sino-Tibetan,karb1241,marrisonnaga-Mikir,{},25.7317,93.0462,Eurasia,NA,Mikir,1530
#338063,30,96,NA,NA,Anim,mina1274,transnewguineaorg-minanibai,{},-7.61717,144.011,Papunesia,NA,Minanibai,2449
#803333,16,194,NA,NA,Austronesian,ming1256,lexirumah-lama1277-minga,{},NA,NA,NA,NA,Mingar,1359
#CC51AE,30,41,NA,NA,Nuclear Torricelli,mini1253,transnewguineaorg-minidien,{},-3.59408,142.33,Papunesia,NA,Minidien,2451
#8FCC51,5,185,NA,NA,Pama-Nyungan,minj1242,bowernpny-Minjungbal,{},NA,NA,Australia,NA,Minjungbal,166
#807433,10,339,NA,NA,Boran,bora1263,hubercolumbian-Mirana,{},-2.91467,-68.9093,South America,NA,Miraña,731
#8FCC51,5,225,NA,NA,Pama-Nyungan,kala1379,bowernpny-Mirniny,{},-31.7154,118.911,Australia,NA,Mirniny,167
#CCAE51,11,428,NA,NA,Afro-Asiatic,mesm1239,kraftchadic-Mismezime,{},9.28888,15.7018,Africa,NA,Misme (Zime),1132
#8FCC51,5,176,NA,NA,Pama-Nyungan,mith1236,bowernpny-Mithaka,{},-25.13606725,139.598447,Australia,NA,Mithaka,168
#CCAE51,11,395,NA,NA,Afro-Asiatic,miya1266,kraftchadic-Miya,{},10.923400000000001,9.71505,Africa,NA,Miya,1133
#338080,21,229,NA,NA,Sino-Tibetan,lamk1238,sohartmannchin-Mkaang,{},24.1523,94.2706,Eurasia,NA,Mkaang,1717
#598033,25,550,NA,NA,Atlantic-Congo,mkuu1238,tls-Mkuu,{},NA,NA,Africa,NA,Mkuu,1836
#598033,25,625,NA,NA,Atlantic-Congo,kway1241,tls-Mkwaya,{},-1.80737,33.71,Africa,NA,Mkwaya,1837
#338046,4,919,NA,NA,Austroasiatic,mlab1235,ids-814,{},18.5533,101.163,Eurasia,NA,Mlabri,1061
#5159CC,30,40,NA,NA,Nimboranic,mlap1238,transnewguineaorg-mlap,{},-2.57316,140.264,Papunesia,NA,Mlap,2454
#806533,4,1117,NA,NA,Guaicuruan,moco1246,ids-301,{},-28.097,-60.4145,South America,NA,Mocoví,917
#51CCCC,17,166,NA,NA,Indo-European,nucl1235,diacl-36100,{},40,45,Eurasia,NA,Modern Armenian,407
#51CCCC,17,161,NA,NA,Indo-European,mode1248,diacl-43200,{},42.3224,24.8699,Eurasia,NA,Modern Greek,465
#51CCCC,4,1307,NA,NA,Indo-European,mode1248,ids-168,{},42.3224,24.8699,Eurasia,NA,Modern Greek,783
#51CCCC,1,951,NA,NA,Indo-European,mode1248,northeuralex-ell,{},42.3224,24.8699,Eurasia,NA,Modern Greek,1601
#CCAE51,1,951,NA,NA,Afro-Asiatic,hebr1245,northeuralex-heb,{},31.1056,35.0179,Eurasia,NA,Modern Hebrew,1611
#CC5151,26,280,NA,NA,Nuclear Trans New Guinea,moer1240,zgraggenmadang-moere,{},-4.62246,145.458,Papunesia,NA,moere,3105
#CC5151,30,272,NA,NA,Nuclear Trans New Guinea,moer1240,transnewguineaorg-moere,{},-4.62246,145.458,Papunesia,NA,Moere,2455
#CC51C5,30,40,NA,NA,West Bird's Head,moii1235,transnewguineaorg-moi,{},-0.96532,131.52,Papunesia,NA,Moi,2456
