Variety,Subgroup,Family,ISO Code,Glottolog ID,AIATSIS Code,StdLangID,StdLanguageName,OriginalForm,PhonemicisedIPA,Std_Gloss,Author,OriginalGloss,OriginalPofSpeech,Latitude,Longitude,Reconstruction_Form,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,jagajagarV,cakacakaɹə,rough,"Dixon, R.M.W",rough,Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,yagarrV,jakarə,rough,"Dixon, R.M.W",rough,Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,mulany,mulaɲ,smooth,"Dixon, R.M.W","smooth (e.g. a fine kin), slippery (e.g. stone, place)",Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,diban,tipan,bald,"Dixon, R.M.W",bald head,Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,gambi,kampi,flat,"Dixon, R.M.W",flat,Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,murjany,muʈjaɲ,flat,"Dixon, R.M.W",flat,Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,puwalypa,puwaʎpa,blunt,NA,dull,Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,nantirrpa,nantirpa,hard,NA,"hard, tough",Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,wiltu,wiltu,hard,NA,"hard, loud",Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Warlpiri,Ngumpin-Yapa,NA,wbp,warl1254,C41*,192,Warlpiri,carntiny2apa,caɳtiɲcaɳtiɲapa,limp,NA,limp,Vi,-20.58720087414583,131.9617683359527,NA,NA,NA,NA
Warlpiri,Ngumpin-Yapa,NA,wbp,warl1254,C41*,192,Warlpiri,ciwirliciwirli,ciwiɭiciwiɭi,limp,NA,limp,Vi,-20.58720087414583,131.9617683359527,NA,NA,NA,NA
Warlpiri,Ngumpin-Yapa,NA,wbp,warl1254,C41*,192,Warlpiri,nyarnturarnturu+,ɲaɳtuɹaɳtuɹu+,stiff,NA,become stiff,NA,-20.58720087414583,131.9617683359527,NA,NA,NA,NA
Warlpiri,Ngumpin-Yapa,NA,wbp,warl1254,C41*,192,Warlpiri,rdapu,ʈapu,solid,NA,solid,Adj,-20.58720087414583,131.9617683359527,NA,NA,NA,NA
Warlpiri,Ngumpin-Yapa,NA,wbp,warl1254,C41*,192,Warlpiri,yulu,julu,limp,NA,limp,Vi,-20.58720087414583,131.9617683359527,NA,NA,NA,NA
Warlpiri,Ngumpin-Yapa,NA,wbp,warl1254,C41*,192,Warlpiri,yulu,julu,limp,NA,slack 6j,Vi,-20.58720087414583,131.9617683359527,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,jalinypa,caliɲpa,sharp,NA,sharp (M),Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,kapararra,kapaɹara,shiny,NA,"shiny, smooth",Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,jiralypa,ciɹalpa,slippery,NA,slippery,adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,kapuraly,kapuɹaʎ,slippery,NA,"slippery, smooth",adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,jarntirri,caɳtiri,smooth,NA,smooth,Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,jiralypa,ciɹaʎpa,smooth,NA,smooth,Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,runyu,ɹuɲu,soft,NA,soft,Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,wiltu,wiltu,stiff,NA,stiff,Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Wadjug,Southwest (Nyungar),Pama-Nyungan,xwj,NA,W9,174,Wajuk,ngunyak,nguɲak,soft,"Mathews, Robert Hamilton",soft,Adj,-32.039107418933916,116.003125640008,NA,NA,NA,NA
Ngawun,Mayi,Pama-Nyungan,nxn,ngaw1240,G17,528,Ngawun,kundjurrkundjurr,kundjurkundjur,hard,"Breen, Gavan",hard,Adj,-20.00086143838962,141.7753193295444,NA,NA,NA,NA
Mayi-Kulan,Mayi,Pama-Nyungan,mnt,mayk1239,G25,666,Mayi-Kulan,(ngandingandi),ŋantiŋanti,hard,"Breen, Gavan",hard,Adj,-19.08362819844932,142.041880858301,NA,NA,NA,NA
Mayi-Kulan,Mayi,Pama-Nyungan,mnt,mayk1239,G25,666,Mayi-Kulan,(tjapurru),capuru,sharp,"Breen, Gavan",sharp,Adj,-19.08362819844932,142.041880858301,NA,NA,NA,NA
Mayi-Kulan,Mayi,Pama-Nyungan,mnt,mayk1239,G25,666,Mayi-Kulan,yiyan,jijan,bald,"Breen, Gavan",bald head,Adj,-19.08362819844932,142.041880858301,NA,NA,NA,NA
Mayi-Yapi,Mayi,Pama-Nyungan,mnt,mayk1239,G20,662,Mayi-Yapi,kunarri,kunari,bald,"Breen, Gavan",bald head,Adj,-19.11953259794748,140.0751513651843,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,zz_yatu-yatu,jatu-jatu,soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,lalypa,laʎpa,flat,"Valiquette, Hillaire amd Anthony Peile",flat,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,lanurriwa,lanuriwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff (like spinifex),Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,mangkaparni,maŋkapaɳi,bald,"Valiquette, Hillaire amd Anthony Peile",bald,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,marrka,marka,hard,"Valiquette, Hillaire amd Anthony Peile",hard (not soft),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,marrku,marku,soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,milytja,miʎca,soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kapaly(pa),kapaʎ(pa),soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,karaly(pa),kaɹaʎ(pa),blunt,"Valiquette, Hillaire amd Anthony Peile",blunt (but not ref. to spears),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,karaly(pa),kaɹaʎ(pa),stiff,"Valiquette, Hillaire amd Anthony Peile",stiff,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nantirr(pa),nantir(pa),stiff,"Valiquette, Hillaire amd Anthony Peile",stiff (having a fit),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nantirr(pa),nantir(pa),tough,"Valiquette, Hillaire amd Anthony Peile",tough (ref. meat),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nantularriwa,nantulariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nantun(pa),nantun(pa),stiff,"Valiquette, Hillaire amd Anthony Peile",stiff,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,narnati,naɳati,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,narntati,naɳtati,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,narntungurriwa,naɳtuŋuriwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nganalpu,ŋanalpu,stiff,"Valiquette, Hillaire amd Anthony Peile",stiff,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nganalpurriwa,ŋanalpuriwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nganngan(pa),ŋanŋan(pa),soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,ngunyul(pa),ŋuɲul(pa),soft,"Valiquette, Hillaire amd Anthony Peile",softly,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyalytjarn(pa),ɲaʎcaɳ(pa),blunt,"Valiquette, Hillaire amd Anthony Peile",blunt (ref. to spears and other instruments),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyanyarr(pa),ɲaɲar(pa),flat,"Valiquette, Hillaire amd Anthony Peile",flat,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyingkil-nyingkil(pa),ɲiŋkil-ɲiŋkil(pa),rough,"Valiquette, Hillaire amd Anthony Peile",rough (to touch),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyintu-nyintu yarra,ɲintu-ɲintu jara,limp,"Valiquette, Hillaire amd Anthony Peile",limp (like an animal that's been hit in the leg),Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyintuti,ɲintuti,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyinytji murrpu-murrpu yarra,ɲiɲci murpu-murpu jara,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyinytji-nyinytji yarra,ɲiɲci-ɲiɲci jara,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyinyuti,ɲiɲuti,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyumputi,ɲumputi,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyunnga,ɲunŋa,soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyuntju yarra,ɲuncu jara,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyunya,ɲuɲa,soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,nyuri,ɲuɹi,soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,paanypaany(pa),paːɲpaːɲ(pa),soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,pakarr(pa),pakar(pa),rough,"Valiquette, Hillaire amd Anthony Peile",rough,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,palytjalarriwa,paʎcalariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff from cold,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,pati,pati,stiff,"Valiquette, Hillaire amd Anthony Peile",stiff,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,pati,pati,blunt,"Valiquette, Hillaire amd Anthony Peile",blunt (ref. to spears and other instruments),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,karurriwa,kaɹuriwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff from a fit,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata kampiny(pa),kata kampiɲ(pa),bald,"Valiquette, Hillaire amd Anthony Peile",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata lingki,kata liŋki,bald,"Valiquette, Hillaire amd Anthony Peile",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata marawuyuru,kata maɹawujuɹu,bald,"Valiquette, Hillaire amd Anthony Peile",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata purliyuru,kata puɭijuɹu,bald,"Valiquette, Hillaire amd Anthony Peile",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata tjarntiri,kata caɳtiɹi,bald,"Valiquette, Hillaire amd Anthony Peile",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata yurniny(pa),kata juɳiɲ(pa),bald,"Valiquette, Hillaire amd Anthony Peile",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kataparni,katapaɳi,bald,"Valiquette, Hillaire amd Anthony Peile",bald,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,raka-rakarriwa,ɹaka-ɹakariwa,tough,"Valiquette, Hillaire amd Anthony Peile",be tough,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tarlki,taɭki,sharp,"Valiquette, Hillaire amd Anthony Peile",sharp,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tarntukukarriwa,taɳtukukariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff in death,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tarra-tarra,tara-tara,flat,"Valiquette, Hillaire amd Anthony Peile",flat,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tarrmal(pa),tarmal(pa),stiff,"Valiquette, Hillaire amd Anthony Peile",stiff,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tartukukarriwa,taʈukukariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tartukukarriwa,taʈukukariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff in death (rigor mortis),Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tartukularriwa,taʈukulariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjalkara,calkaɹa,clean,"Valiquette, Hillaire amd Anthony Peile",clean,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjangilyi,caŋiʎi,hard,"Valiquette, Hillaire amd Anthony Peile",inflamed,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kilin(pa),kilin(pa),clean,"Valiquette, Hillaire amd Anthony Peile",clean,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjarntin-tjarntin wapati,caɳtin-caɳtin wapati,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjarntirri marra,caɳtiri mara,clean,"Valiquette, Hillaire amd Anthony Peile",clean,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjarntiti,caɳtiti,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjarra-tjarrarriwa,cara-carariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjiilarriwa,ciːlariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjilarltjurra,cilaɭcura,stiff,"Valiquette, Hillaire amd Anthony Peile",be stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjintirrarriwa,cintirariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjintjirra,cincira,stiff,"Valiquette, Hillaire amd Anthony Peile",stiff,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjintjirrarriwa,cincirariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjintjirrarriwa,cincirariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff in death,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjintjirrirriwa,cinciririwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff or numb (from cold only),Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tjiraly-tjiraly(pa),ciɹaʎ-ciɹaʎ(pa),smooth,"Valiquette, Hillaire amd Anthony Peile",smooth (surface),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tuku,tuku,flat,"Valiquette, Hillaire amd Anthony Peile","flat (ref. feet, surface, land)",Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,tunngala,tunŋala,limp,"Valiquette, Hillaire amd Anthony Peile",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kiwarn(pa),kiwaɳ(pa),firm,"Valiquette, Hillaire amd Anthony Peile",firm,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,walu,walu,bald,"Valiquette, Hillaire amd Anthony Peile",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,wanywany(pa),waɲwaɲ(pa),soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,warrpu,warpu,sharp,"Valiquette, Hillaire amd Anthony Peile",sharp,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,warta,waʈa,firm,"Valiquette, Hillaire amd Anthony Peile",firm,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,warta,waʈa,stiff,"Valiquette, Hillaire amd Anthony Peile",stiff,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,wilpikiri,wilpikiɹi,hard,"Valiquette, Hillaire amd Anthony Peile",hard,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,wiruly(pa),wiɹuʎ(pa),slippery,"Valiquette, Hillaire amd Anthony Peile",slippery,adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,wiruly(pa),wiɹuʎ(pa),smooth,"Valiquette, Hillaire amd Anthony Peile",smooth,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,witunyarriwa,wituɲariwa,stiff,"Valiquette, Hillaire amd Anthony Peile",become stiff,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,yaru,jaɹu,soft,"Valiquette, Hillaire amd Anthony Peile",soft (not hard),Nact,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,yatu,jatu,soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,yiriparni,jiɹipaɳi,blunt,"Valiquette, Hillaire amd Anthony Peile",blunt,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,yirlkuly-yirlkuly(pa),jiɭkuʎ-jiɭkuʎ(pa),hard,"Valiquette, Hillaire amd Anthony Peile",inflamed (organs),Nstat,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kinkin(pa),kinkin(pa),soft,"Valiquette, Hillaire amd Anthony Peile",soft,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,liin(pa),liːn(pa),flat,"Valiquette, Hillaire amd Anthony Peile",flat,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,maralkaral(pa),maɹalkaɹal(pa),flat,"Valiquette, Hillaire amd Anthony Peile",flat,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
