Variety,Subgroup,Family,ISO Code,Glottolog ID,AIATSIS Code,StdLangID,StdLanguageName,OriginalForm,PhonemicisedIPA,Std_Gloss,Author,OriginalGloss,OriginalPofSpeech,Latitude,Longitude,Reconstruction_Form,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,palytjulkati,paʎculkati,limp,"Peile, Fr Antony R.",limp,Vi,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,pati,pati,stiff,"Peile, Fr Antony R.",stiff,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,piilwaru,piːlwaɹu,hard,"Peile, Fr Antony R.",hard?,nom,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kataparni,katapaɳi,bald,"Peile, Fr Antony R.",bald,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata kampu,kata kampu,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata lingki,kata liŋki,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata marawuyuru,kata maɹawujuɹu,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata mirilyi,kata miɹiʎi,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata pangu-pangu,kata paŋu-paŋu,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata pilitji,kata pilici,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
