ID,Name,Parameter,Language,Frequency,Confidence,References,Language_broad,n,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
ids-72-15-760-1,ishgynsyz,ROUGH,Kumyk,NA,NA,NA,Kumyk,6,CLICS,kum,trill,https://www.omniglot.com/writing/kumyk.php,NA
lexirumah-lamb1273-rough-1,jareta,ROUGH,Lamboya,NA,NA,NA,Lamboya,1,CLICS,lmy,trill,"Verdizade, Allahverdi (2019). Selected topics in the phonology and morphosyntax of Laboya: A field study (MA thesis). Stockholm University.",NA
lexirumah-buso1238-rough-1,kabasara,ROUGH,Busoa,NA,NA,NA,Busoa,1,CLICS,bup,NA,NA,NA
hantganbangime-Togo_Kan-212_rough-1,kagaju,ROUGH,Togo_Kan,NA,NA,NA,Togo_Kan,1,CLICS,dtm,no trill,wiki,NA
ids-50-15-760-2,kagalia,ROUGH,Tindi,NA,NA,NA,Tindi,1,CLICS,tin,NA,NA,NA
ids-51-15-760-1,kagub,ROUGH,Chamalal,NA,NA,NA,Chamalal,2,CLICS,cji,trill,https://omniglot.com/writing/chamalal.htm,NA
lexirumah-koto1251-rough-1,kamaekifa,ROUGH,Kotos Amarasi,NA,NA,NA,Kotos Amarasi,1,CLICS,aaz,trill,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0025100315000377,NA
ids-37-15-760-1,kantii,ROUGH,Botlikh,NA,NA,NA,Botlikh,2,CLICS,bph,NA,NA,NA
lexirumah-kula1280-lanto-rough-2,kapita,ROUGH,"Kula, Lantoka",NA,NA,NA,Kula,1,CLICS,tpg,NA,NA,NA
lexirumah-keda1252-leuba-rough-1,karang,ROUGH,"Kedang, Leubatang",NA,NA,NA,Kedang,1,CLICS,ksx,trill,wiki,NA
lexirumah-bima1247-rough-1,kasa,ROUGH,Bima,NA,NA,NA,Bima,1,CLICS,bhp,NA,NA,NA
lexirumah-nage1237-rough-1,kasa,ROUGH,"Nage, East",NA,NA,NA,Nage,1,CLICS,nxe,NA,NA,NA
lexirumah-batu1258-rough-1,kasar,ROUGH,Batuley,NA,NA,NA,Batuley,1,CLICS,bay,trill,NA,NA
lexirumah-kula1280-lanto-rough-1,kasar,ROUGH,"Kula, Lantoka",NA,NA,NA,Kula,1,CLICS,tpg,NA,NA,NA
lexirumah-sawa1247-rough-2,kasar,ROUGH,Sawai,NA,NA,NA,Sawai,1,CLICS,szw,no rhotic,wiki,NA
lexirumah-urua1244-rough-1,kasar,ROUGH,Uruangnirin,NA,NA,NA,Uruangnirin,1,CLICS,urn,NA,NA,NA
lexirumah-waer1237-rough-1,kasar,ROUGH,Waerana,NA,NA,NA,Waerana,1,CLICS,wrx,NA,NA,NA
wold-CeqWong-1038_rough1-1,kasar,ROUGH,Ceq Wong,NA,NA,NA,Ceq Wong,1,CLICS,cwg,NA,NA,NA
lexirumah-woli1241-rough-1,kasara,ROUGH,Wolio,NA,NA,NA,Wolio,4,CLICS,wlo,trill,wiki,NA
hantganbangime-Songhai_Kiini-212_rough-1,kaso,ROUGH,Songhai_Kiini,NA,NA,NA,Songhai_Kiini,1,CLICS,khq,NA,NA,khq
hantganbangime-Songhai_Senni-212_rough-1,kaso,ROUGH,Songhai_Senni,NA,NA,NA,Songhai_Senni,1,CLICS,hmb,NA,NA,NA
hantganbangime-Bankan_Tey-212_rough-1,kasu,ROUGH,Bankan_Tey,NA,NA,NA,Bankan_Tey,1,CLICS,dbw,NA,NA,NA
halenepal-Kham-1677_rough-1,katalamatalao,ROUGH,Kham,NA,NA,NA,Kham,1,CLICS,kgj; kif; kip; kjl,NA,NA,NA
ids-69-15-760-2,katangaz,ROUGH,Khinalug,NA,NA,NA,Khinalug,1,CLICS,kjj,trill,wiki,NA
robinsonap-westernpantar-235_rough-1,katangkatang,ROUGH,Western Pantar,NA,NA,NA,Western Pantar,1,CLICS,lev,trill,wiki,NA
ids-73-15-760-1,katy,ROUGH,Nogai,NA,NA,NA,Nogai,1,CLICS,nog,NA,NA,NA
ids-73-15-760-2,kelissizetilgen,ROUGH,Nogai,NA,NA,NA,Nogai,1,CLICS,nog,NA,NA,NA
marrisonnaga-KohimaAngami-617_rough-1,kemehie,ROUGH,Angami Kohima,NA,NA,NA,Angami Kohima,1,CLICS,njm,no trill,wiki,njm
marrisonnaga-Zeme-617_rough-1,keteratbe,ROUGH,Zeme,NA,NA,NA,Zeme,1,CLICS,nzm,NA,NA,NA
ids-107-15-760-1,khachiab,ROUGH,Avar,NA,NA,NA,Avar,13,CLICS,ava,NA,NA,ava
ids-38-15-760-1,khachiab,ROUGH,Godoberi,NA,NA,NA,Godoberi,1,CLICS,gdo,NA,NA,NA
ids-52-15-760-2,khachiab,ROUGH,Hunzib,NA,NA,NA,Hunzib,1,CLICS,huz,trill,wiki,NA
ids-33-15-760-1,khachiadabe,ROUGH,Akhvakh (Northern dialect),NA,NA,NA,Akhvakh,2,CLICS,akv,trill,wiki,NA
ids-42-15-760-2,khachiav,ROUGH,Hinuq,NA,NA,NA,Hinuq,1,CLICS,gin,trill,wiki,NA
ids-160-15-760-1,khachichio,ROUGH,Bezhta,NA,NA,NA,Bezhta,3,CLICS,kap,trill,wiki,NA
ids-32-15-760-1,khachii,ROUGH,Andi,NA,NA,NA,Andi,2,CLICS,ani,trill,wiki,NA
ids-39-15-760-1,khachiob,ROUGH,Karata,NA,NA,NA,Karata,2,CLICS,kpt,trill,wiki,NA
ids-35-15-760-1,khachiub,ROUGH,Bagvalal,NA,NA,NA,Bagvalal,1,CLICS,kva,NA,NA,NA
ids-51-15-760-2,khachiub,ROUGH,Chamalal,NA,NA,NA,Chamalal,2,CLICS,cji,trill,https://omniglot.com/writing/chamalal.htm,NA
