Language,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
"Kioko, Bonegunu",CLICS,ues,,,
Klon,CLICS,kyo,,,
Kogui,CLICS,kog,,,kog
"Kokoda, Negeri Besar",CLICS,xod,,,
Kokota,CLICS,kkk,,,kkk
Komi-Permyak,CLICS,koi,,,
Komodo,CLICS,kvh,,,
Konda,CLICS,knd,,,
Konyak,CLICS,nbe,,,
Koreguaje,CLICS,coe,,,coe
Kotos Amarasi,CLICS,aaz,,,
Kryz,CLICS,kry,,,
Kui,CLICS,kvd,,,
Kuikúro-Kalapálo,CLICS,kui,,,kui
"Kula, Lantoka",CLICS,tpg,,,
Kulisusu,CLICS,vkl,,,
Kumbewaha,CLICS,xks,,,
Kumyk,CLICS,kum,,,
Kusaghe,CLICS,ksg,,,
Kwaio,CLICS,kwd,,,kwd
Kwara'ae,CLICS,kwf,,,
Lahu (Black),CLICS,lhu,,,lhu
Laiyolo,CLICS,lji,,,
Lak,CLICS,lbe,,,lbe
Lamboya,CLICS,lmy,,,
Langalanga,CLICS,lgl,,,
Lasalimu,CLICS,llm,,,
Lau North,CLICS,llu,,,
Lavukaleve,CLICS,lvk,,,lvk
Laz,CLICS,lzz,,,lzz
Lengo,CLICS,lgr,,,
Lezgian,CLICS,lez,,,
Liangmai,CLICS,njn,,,
Lio,CLICS,ljl,,,
Lisu,CLICS,lis,,,lis
Livonian,CLICS,liv,,,
Lokuru,CLICS,tqu,,,
Lole,CLICS,bpz; dnk; llg; rgu; twu; txg,,,
Lotha,CLICS,njh,,,njh
Lower Sorbian,CLICS,dsb,,,
Lule Sami,CLICS,smj,,,
Lungga,CLICS,lga,,,
Lushai,CLICS,lus,,,lus
Macuna,CLICS,myy,,,myy
Magar,CLICS,mgp,,,
Makasae,CLICS,mkz,,,
Malango,CLICS,mln,,,
Manange,CLICS,nmm,,,nmm
Manchu,CLICS,mnc,,,mnc
Manggarai,CLICS,mqy,,,
Manipuri,CLICS,mni,,,mni
Mao,CLICS,nbi,,,nbi
Maonan,CLICS,mmd,,,
Maram,CLICS,nma,,,
Maring,CLICS,mbw,,,
