Word,MainYear,EtymonYear,EtymonYearProcessed,Etymology,Origin,Borrowed,ObscureOrigin,Imitative,IE_root_watkins_2000,DetailedForm_watkins_2000,AlternativeForm
coated,1566,c1300,1300,coat,French borrowing,yes,no,no,NA,NA,
comfortable,c1460,c1290,1290,comfort,French borrowing,yes,no,no,NA,NA,
cotton,c1400,,1400,,French borrowing,yes,no,no,NA,NA,
crumbly,?1523,c975,975,crumb,Germanic,no,no,no,NA,NA,
crushed,a1616,1398,1398,crush,French,yes,no,no,NA,NA,
cuddly,1863,c1520,1520,cuddle,uncertain origin,no,yes,no,NA,NA,
cushy,1887,,1887,,Persian/Urdu borrowing,yes,no,no,NA,NA,
delicate,c1374,,1374,,Latin,yes,no,no,NA,NA,
dented,1398,c897,897,dint,probably Germanic,no,no,no,NA,NA,
fiberglass,1937,,1937,,U.S. proprietary term,no,no,no,NA,NA,
fibrous,1657,1398,1398,fibre,Latin / French borrowing,yes,no,no,NA,NA,
fine,c1200,,1200,,French borrowing,yes,no,no,NA,NA,
flabby,1598,1362,1362,flap,probably onomatopoetic,no,no,yes,NA,NA,
flimsy,1702,,1702,,possibly onomatopoetic formation suggested by film,no,no,yes,NA,NA,
fluffy,1825,,1825,fluff,possibly onomatopoetic formation suggested by film,no,no,yes,NA,NA,
formica,1922,,1922,,Latin,yes,no,no,NA,NA,
gnarled,a1616,1608,1608,knurled,unknown origin,no,yes,no,NA,NA,
gooey,1906,1903,1903,goo,unknown origin,no,yes,no,NA,NA,
goopy,1926,1900,1900,goop,arbitrary formation,no,no,no,NA,NA,
greasy,?1518,a1340,1340,grease,French borrowing,yes,no,no,NA,NA,
hairy,a1400,a800,800,hair,Germanic,no,no,no,NA,NA,
harsh,a1400,,1400,,Germanic,no,no,no,NA,NA,
inflexible,1398,,1398,,Latin,yes,no,no,NA,NA,
jagged,c1440,,1440,jag,formation appears to be onomatopoetic,no,no,yes,NA,NA,
lacy,1804,13..,1300,lace,French borrowing,yes,no,no,NA,NA,
lumpy,1707,a1380,1380,lump,Germanic,no,no,no,NA,NA,
matted,1566,eOE/OE/a1387,650,mat,Latin,yes,no,no,NA,NA,
metal,c1230,,1230,,French borrowing,yes,no,no,NA,NA,
metallic,a1425,c1230,1230,metal,French borrowing,yes,no,no,NA,NA,
nylon,1938,,1938,,apparently an arbitrary formation of rayon and cotton,no,no,no,NA,NA,
papery,1602,1341,1341,paper,French borrowing,yes,no,no,NA,NA,
pebbly,1600,OE/a1425,1425,pebble,origin uncertain,no,yes,no,NA,NA,
prickly,1577,OE/lOE/c1400,1400,prickle,Germanic,no,no,no,NA,NA,
rocky,?c1475,OE/c1250,1250,rock,French borrowing,yes,no,no,NA,NA,
rubbery,1879,a1325/1478,1325,rub/rubber,origin uncertain,no,yes,no,NA,NA,
satiny,1786,?a1366,1366,satin,French,yes,no,no,NA,NA,
scrunchy,?1905,1806,1806,craunch,variation of cranch,no,no,no,NA,NA,
sequined,1894,1613,1613,sequin,French borrowing,yes,no,no,NA,NA,
serrated,1703,1668,1668,serrate,late Latin borrowing,yes,no,no,NA,NA,
silky,1611,c888,888,silk,commonly supposed to be Latin,yes,no,no,NA,NA,
sleek,1600,?a1366,1366,slick,later variant of 'slick'; Germanic,no,no,no,NA,NA,
smooshy,NA,NA,NA,NA,NA,no,no,no,NA,NA,
smooth,a1050,c725,725,smeeth,Germanic,no,no,no,NA,NA,
soft,c1000,,1000,,Germanic,no,no,no,NA,NA,
soggy,a1722,a1552,1552,sog,of obscure origin,no,yes,no,NA,NA,
