participant,overall.dur,roughness,stimulus,etymology.source,all.r,all.l
R_8nZbxNURhEAQ0wN,768,-6.98,selymes,unknown,0,0
R_1KmaYsKDeil9Ulu,630,-3.34,selymes,unknown,0,0
R_2f73AcR8uA82XLd,773,-2.45,selymes,unknown,0,0
R_3ELPEMeSqeojjKD,4499,-4.38,selymes,unknown,0,0
R_29QlGRes7a1ZuSt,1006,-6.56,selymes,unknown,0,0
R_AgvhV0T99Hi9hAt,4604,-4.75,selymes,unknown,0,0
R_3QR929IrgiCVniq,519,-6.05,selymes,unknown,0,0
R_2t6dfZt35dI0dhl,682,-6.19,selymes,unknown,0,0
R_3Po5gbqeIdAHi9l,668,-6.98,selymes,unknown,0,0
R_32Mja3MNPo5Np98,536,-7,selymes,unknown,0,0
R_3qsVbzSPnkEZ9Pu,483,-6.95,selymes,unknown,0,0
R_qBZVAGbiygl16yR,674,-6.91,selymes,unknown,0,0
R_3MEgzBiFCJBMAUN,457,-5.92,selymes,unknown,0,0
R_rkYNuZF0SgK0JGh,732,-6.68,selymes,unknown,0,0
R_29oCgZSCYIJePHg,792,-2.62,selymes,unknown,0,0
R_2pY9bqFFpuTAS1a,284,-7,selymes,unknown,0,0
R_1GwflvMIvtpVDSz,652,-2.82,selymes,unknown,0,0
R_3CHocKls9HFwIp0,569,-6.95,sima,from other,0,0
R_231pwiLAC5ZSwkg,588,-2.98,sima,from other,0,0
R_pK6D4qIrzWOHXrj,774,-7,sima,from other,0,0
R_8nZbxNURhEAQ0wN,768,-6.98,sima,from other,0,0
R_1KmaYsKDeil9Ulu,630,-7,sima,from other,0,0
R_2f73AcR8uA82XLd,773,-2.19,sima,from other,0,0
R_3ELPEMeSqeojjKD,4499,-6.9,sima,from other,0,0
R_29QlGRes7a1ZuSt,1006,-7,sima,from other,0,0
R_AgvhV0T99Hi9hAt,4604,-6.98,sima,from other,0,0
R_3QR929IrgiCVniq,519,-7,sima,from other,0,0
R_2t6dfZt35dI0dhl,682,-6.98,sima,from other,0,0
R_3Po5gbqeIdAHi9l,668,-6.98,sima,from other,0,0
R_32Mja3MNPo5Np98,536,-7,sima,from other,0,0
R_3qsVbzSPnkEZ9Pu,483,-6.95,sima,from other,0,0
R_qBZVAGbiygl16yR,674,-6.99,sima,from other,0,0
R_3MEgzBiFCJBMAUN,457,-2.03,sima,from other,0,0
R_rkYNuZF0SgK0JGh,732,-7,sima,from other,0,0
R_29oCgZSCYIJePHg,792,-6.98,sima,from other,0,0
R_2pY9bqFFpuTAS1a,284,-7,sima,from other,0,0
R_1GwflvMIvtpVDSz,652,-4.18,sima,from other,0,0
R_3CHocKls9HFwIp0,569,4.35,szemcsés,innovation,0,0
R_231pwiLAC5ZSwkg,588,2.94,szemcsés,innovation,0,0
R_pK6D4qIrzWOHXrj,774,4.32,szemcsés,innovation,0,0
R_8nZbxNURhEAQ0wN,768,3.04,szemcsés,innovation,0,0
R_1KmaYsKDeil9Ulu,630,2.94,szemcsés,innovation,0,0
R_2f73AcR8uA82XLd,773,2.13,szemcsés,innovation,0,0
R_3ELPEMeSqeojjKD,4499,1.95,szemcsés,innovation,0,0
R_29QlGRes7a1ZuSt,1006,2.22,szemcsés,innovation,0,0
R_AgvhV0T99Hi9hAt,4604,0,szemcsés,innovation,0,0
R_3QR929IrgiCVniq,519,2.88,szemcsés,innovation,0,0
R_2t6dfZt35dI0dhl,682,3.19,szemcsés,innovation,0,0
R_3Po5gbqeIdAHi9l,668,0,szemcsés,innovation,0,0
R_32Mja3MNPo5Np98,536,4.18,szemcsés,innovation,0,0
R_3qsVbzSPnkEZ9Pu,483,4.06,szemcsés,innovation,0,0
R_qBZVAGbiygl16yR,674,3.26,szemcsés,innovation,0,0
R_3MEgzBiFCJBMAUN,457,-5.34,szemcsés,innovation,0,0
R_rkYNuZF0SgK0JGh,732,4.26,szemcsés,innovation,0,0
R_29oCgZSCYIJePHg,792,1.75,szemcsés,innovation,0,0
R_2pY9bqFFpuTAS1a,284,7,szemcsés,innovation,0,0
R_1GwflvMIvtpVDSz,652,2.25,szemcsés,innovation,0,0
R_3CHocKls9HFwIp0,569,2.25,sziklás,slavic,0,1
R_231pwiLAC5ZSwkg,588,0,sziklás,slavic,0,1
R_pK6D4qIrzWOHXrj,774,4.25,sziklás,slavic,0,1
R_8nZbxNURhEAQ0wN,768,3.88,sziklás,slavic,0,1
R_1KmaYsKDeil9Ulu,630,3.34,sziklás,slavic,0,1
R_2f73AcR8uA82XLd,773,0,sziklás,slavic,0,1
R_3ELPEMeSqeojjKD,4499,7,sziklás,slavic,0,1
R_29QlGRes7a1ZuSt,1006,3.6,sziklás,slavic,0,1
R_AgvhV0T99Hi9hAt,4604,6.94,sziklás,slavic,0,1
R_3QR929IrgiCVniq,519,5.21,sziklás,slavic,0,1
R_2t6dfZt35dI0dhl,682,6.13,sziklás,slavic,0,1
R_3Po5gbqeIdAHi9l,668,4.77,sziklás,slavic,0,1
R_32Mja3MNPo5Np98,536,7,sziklás,slavic,0,1
R_3qsVbzSPnkEZ9Pu,483,3.54,sziklás,slavic,0,1
R_qBZVAGbiygl16yR,674,3.07,sziklás,slavic,0,1
R_3MEgzBiFCJBMAUN,457,6.8,sziklás,slavic,0,1
R_rkYNuZF0SgK0JGh,732,1.81,sziklás,slavic,0,1
R_29oCgZSCYIJePHg,792,6.88,sziklás,slavic,0,1
R_2pY9bqFFpuTAS1a,284,7,sziklás,slavic,0,1
R_1GwflvMIvtpVDSz,652,7,sziklás,slavic,0,1
R_3CHocKls9HFwIp0,569,0,száraz,finnougric,1,0
R_231pwiLAC5ZSwkg,588,0,száraz,finnougric,1,0
R_pK6D4qIrzWOHXrj,774,0,száraz,finnougric,1,0
R_8nZbxNURhEAQ0wN,768,0,száraz,finnougric,1,0
R_1KmaYsKDeil9Ulu,630,-1.63,száraz,finnougric,1,0
R_2f73AcR8uA82XLd,773,3.43,száraz,finnougric,1,0
R_3ELPEMeSqeojjKD,4499,5.48,száraz,finnougric,1,0
R_29QlGRes7a1ZuSt,1006,4.42,száraz,finnougric,1,0
R_AgvhV0T99Hi9hAt,4604,2.17,száraz,finnougric,1,0
R_3QR929IrgiCVniq,519,1.99,száraz,finnougric,1,0
R_2t6dfZt35dI0dhl,682,0,száraz,finnougric,1,0
R_3Po5gbqeIdAHi9l,668,0,száraz,finnougric,1,0
R_32Mja3MNPo5Np98,536,0,száraz,finnougric,1,0
R_3qsVbzSPnkEZ9Pu,483,-2.44,száraz,finnougric,1,0
R_qBZVAGbiygl16yR,674,1.31,száraz,finnougric,1,0
R_3MEgzBiFCJBMAUN,457,2.74,száraz,finnougric,1,0
R_rkYNuZF0SgK0JGh,732,0.65,száraz,finnougric,1,0
R_29oCgZSCYIJePHg,792,7,száraz,finnougric,1,0
R_2pY9bqFFpuTAS1a,284,5.36,száraz,finnougric,1,0
R_1GwflvMIvtpVDSz,652,0,száraz,finnougric,1,0
R_3CHocKls9HFwIp0,569,2.21,szöges,finnougric,0,0
R_231pwiLAC5ZSwkg,588,6.37,szöges,finnougric,0,0
R_pK6D4qIrzWOHXrj,774,3.42,szöges,finnougric,0,0
R_8nZbxNURhEAQ0wN,768,6.98,szöges,finnougric,0,0
R_1KmaYsKDeil9Ulu,630,3.7,szöges,finnougric,0,0
R_2f73AcR8uA82XLd,773,4,szöges,finnougric,0,0
R_3ELPEMeSqeojjKD,4499,7,szöges,finnougric,0,0
R_29QlGRes7a1ZuSt,1006,4.47,szöges,finnougric,0,0
R_AgvhV0T99Hi9hAt,4604,7,szöges,finnougric,0,0
R_3QR929IrgiCVniq,519,6.13,szöges,finnougric,0,0
R_2t6dfZt35dI0dhl,682,6.23,szöges,finnougric,0,0
R_3Po5gbqeIdAHi9l,668,1.03,szöges,finnougric,0,0
R_32Mja3MNPo5Np98,536,7,szöges,finnougric,0,0
R_3qsVbzSPnkEZ9Pu,483,2.97,szöges,finnougric,0,0
R_qBZVAGbiygl16yR,674,3.86,szöges,finnougric,0,0
R_3MEgzBiFCJBMAUN,457,-5.21,szöges,finnougric,0,0
R_rkYNuZF0SgK0JGh,732,5.78,szöges,finnougric,0,0
R_29oCgZSCYIJePHg,792,3.12,szöges,finnougric,0,0
R_2pY9bqFFpuTAS1a,284,7,szöges,finnougric,0,0
R_1GwflvMIvtpVDSz,652,7,szöges,finnougric,0,0
R_3CHocKls9HFwIp0,569,5.43,szúrós,finnougric,1,0
R_231pwiLAC5ZSwkg,588,5.21,szúrós,finnougric,1,0
R_pK6D4qIrzWOHXrj,774,4.67,szúrós,finnougric,1,0
R_8nZbxNURhEAQ0wN,768,7,szúrós,finnougric,1,0
R_1KmaYsKDeil9Ulu,630,5.5,szúrós,finnougric,1,0
R_2f73AcR8uA82XLd,773,0,szúrós,finnougric,1,0
R_3ELPEMeSqeojjKD,4499,5.77,szúrós,finnougric,1,0
R_29QlGRes7a1ZuSt,1006,6.38,szúrós,finnougric,1,0
R_AgvhV0T99Hi9hAt,4604,7,szúrós,finnougric,1,0
R_3QR929IrgiCVniq,519,4.04,szúrós,finnougric,1,0
R_2t6dfZt35dI0dhl,682,6.29,szúrós,finnougric,1,0
R_3Po5gbqeIdAHi9l,668,5.7,szúrós,finnougric,1,0
R_32Mja3MNPo5Np98,536,2.05,szúrós,finnougric,1,0
R_3qsVbzSPnkEZ9Pu,483,4.25,szúrós,finnougric,1,0
R_qBZVAGbiygl16yR,674,2.95,szúrós,finnougric,1,0
R_3MEgzBiFCJBMAUN,457,6.9,szúrós,finnougric,1,0
R_rkYNuZF0SgK0JGh,732,7,szúrós,finnougric,1,0
R_29oCgZSCYIJePHg,792,3.43,szúrós,finnougric,1,0
R_2pY9bqFFpuTAS1a,284,7,szúrós,finnougric,1,0
R_1GwflvMIvtpVDSz,652,6.66,szúrós,finnougric,1,0
R_3CHocKls9HFwIp0,569,1.17,szőrös,finnougric,1,0
R_231pwiLAC5ZSwkg,588,1.64,szőrös,finnougric,1,0
R_pK6D4qIrzWOHXrj,774,2.92,szőrös,finnougric,1,0
R_8nZbxNURhEAQ0wN,768,3.63,szőrös,finnougric,1,0
R_1KmaYsKDeil9Ulu,630,2.18,szőrös,finnougric,1,0
R_2f73AcR8uA82XLd,773,0,szőrös,finnougric,1,0
R_3ELPEMeSqeojjKD,4499,2.35,szőrös,finnougric,1,0
R_29QlGRes7a1ZuSt,1006,3.93,szőrös,finnougric,1,0
R_AgvhV0T99Hi9hAt,4604,-5.76,szőrös,finnougric,1,0
R_3QR929IrgiCVniq,519,1.81,szőrös,finnougric,1,0
R_2t6dfZt35dI0dhl,682,-0.89,szőrös,finnougric,1,0
R_3Po5gbqeIdAHi9l,668,2.46,szőrös,finnougric,1,0
R_32Mja3MNPo5Np98,536,-4.2,szőrös,finnougric,1,0
R_3qsVbzSPnkEZ9Pu,483,0.55,szőrös,finnougric,1,0
R_qBZVAGbiygl16yR,674,1.29,szőrös,finnougric,1,0
R_3MEgzBiFCJBMAUN,457,5.36,szőrös,finnougric,1,0
R_rkYNuZF0SgK0JGh,732,1.32,szőrös,finnougric,1,0
R_29oCgZSCYIJePHg,792,2.64,szőrös,finnougric,1,0
R_2pY9bqFFpuTAS1a,284,5.05,szőrös,finnougric,1,0
R_1GwflvMIvtpVDSz,652,4,szőrös,finnougric,1,0
R_3CHocKls9HFwIp0,569,1.21,szőtt,finnougric,0,0
R_231pwiLAC5ZSwkg,588,1.01,szőtt,finnougric,0,0
R_pK6D4qIrzWOHXrj,774,-4.72,szőtt,finnougric,0,0
R_8nZbxNURhEAQ0wN,768,-3.49,szőtt,finnougric,0,0
R_1KmaYsKDeil9Ulu,630,4.22,szőtt,finnougric,0,0
R_2f73AcR8uA82XLd,773,0.91,szőtt,finnougric,0,0
R_3ELPEMeSqeojjKD,4499,2.01,szőtt,finnougric,0,0
R_29QlGRes7a1ZuSt,1006,3.1,szőtt,finnougric,0,0
R_AgvhV0T99Hi9hAt,4604,-1.91,szőtt,finnougric,0,0
R_3QR929IrgiCVniq,519,1.05,szőtt,finnougric,0,0
R_2t6dfZt35dI0dhl,682,1.16,szőtt,finnougric,0,0
R_3Po5gbqeIdAHi9l,668,-2.21,szőtt,finnougric,0,0
R_32Mja3MNPo5Np98,536,0,szőtt,finnougric,0,0
R_3qsVbzSPnkEZ9Pu,483,2.3,szőtt,finnougric,0,0
R_qBZVAGbiygl16yR,674,1.7,szőtt,finnougric,0,0
R_3MEgzBiFCJBMAUN,457,0.99,szőtt,finnougric,0,0
R_rkYNuZF0SgK0JGh,732,1.48,szőtt,finnougric,0,0
R_29oCgZSCYIJePHg,792,1.77,szőtt,finnougric,0,0
R_2pY9bqFFpuTAS1a,284,-6.09,szőtt,finnougric,0,0
R_1GwflvMIvtpVDSz,652,0.73,szőtt,finnougric,0,0
R_3CHocKls9HFwIp0,569,-6.95,sík,unknown,0,0
R_231pwiLAC5ZSwkg,588,0,sík,unknown,0,0
R_pK6D4qIrzWOHXrj,774,-4.25,sík,unknown,0,0
R_8nZbxNURhEAQ0wN,768,-6.98,sík,unknown,0,0
R_1KmaYsKDeil9Ulu,630,-6.3,sík,unknown,0,0
R_2f73AcR8uA82XLd,773,-0.2,sík,unknown,0,0
R_3ELPEMeSqeojjKD,4499,-7,sík,unknown,0,0
R_29QlGRes7a1ZuSt,1006,-6.95,sík,unknown,0,0
R_AgvhV0T99Hi9hAt,4604,-5.34,sík,unknown,0,0
R_3QR929IrgiCVniq,519,-2.37,sík,unknown,0,0
R_2t6dfZt35dI0dhl,682,-6.98,sík,unknown,0,0
R_3Po5gbqeIdAHi9l,668,-6.78,sík,unknown,0,0
R_32Mja3MNPo5Np98,536,-3.02,sík,unknown,0,0
R_3qsVbzSPnkEZ9Pu,483,-5.53,sík,unknown,0,0
R_qBZVAGbiygl16yR,674,-5.37,sík,unknown,0,0
R_3MEgzBiFCJBMAUN,457,-1.6,sík,unknown,0,0
R_rkYNuZF0SgK0JGh,732,-2.74,sík,unknown,0,0
R_29oCgZSCYIJePHg,792,-6.98,sík,unknown,0,0
R_2pY9bqFFpuTAS1a,284,-7,sík,unknown,0,0
R_1GwflvMIvtpVDSz,652,-5.46,sík,unknown,0,0
R_3CHocKls9HFwIp0,569,5.53,sörtés,turkic,1,0
R_231pwiLAC5ZSwkg,588,5.48,sörtés,turkic,1,0
R_pK6D4qIrzWOHXrj,774,4.27,sörtés,turkic,1,0
R_8nZbxNURhEAQ0wN,768,0.71,sörtés,turkic,1,0
R_1KmaYsKDeil9Ulu,630,3.25,sörtés,turkic,1,0
R_2f73AcR8uA82XLd,773,2.35,sörtés,turkic,1,0
R_3ELPEMeSqeojjKD,4499,4.01,sörtés,turkic,1,0
R_29QlGRes7a1ZuSt,1006,7,sörtés,turkic,1,0
R_AgvhV0T99Hi9hAt,4604,1.81,sörtés,turkic,1,0
R_3QR929IrgiCVniq,519,4.04,sörtés,turkic,1,0
R_2t6dfZt35dI0dhl,682,6.05,sörtés,turkic,1,0
R_3Po5gbqeIdAHi9l,668,4.12,sörtés,turkic,1,0
R_32Mja3MNPo5Np98,536,6.15,sörtés,turkic,1,0
R_3qsVbzSPnkEZ9Pu,483,2.25,sörtés,turkic,1,0
R_qBZVAGbiygl16yR,674,1.41,sörtés,turkic,1,0
R_3MEgzBiFCJBMAUN,457,3.1,sörtés,turkic,1,0
R_rkYNuZF0SgK0JGh,732,5.86,sörtés,turkic,1,0
R_29oCgZSCYIJePHg,792,2.03,sörtés,turkic,1,0
R_2pY9bqFFpuTAS1a,284,7,sörtés,turkic,1,0
R_1GwflvMIvtpVDSz,652,4.28,sörtés,turkic,1,0
R_3CHocKls9HFwIp0,569,1.53,tollas,finnougric,0,1
R_231pwiLAC5ZSwkg,588,0,tollas,finnougric,0,1
R_pK6D4qIrzWOHXrj,774,-3.25,tollas,finnougric,0,1
R_8nZbxNURhEAQ0wN,768,-4.75,tollas,finnougric,0,1
R_1KmaYsKDeil9Ulu,630,2.35,tollas,finnougric,0,1
R_2f73AcR8uA82XLd,773,1.3,tollas,finnougric,0,1
R_3ELPEMeSqeojjKD,4499,-3.49,tollas,finnougric,0,1
R_29QlGRes7a1ZuSt,1006,-1.89,tollas,finnougric,0,1
R_AgvhV0T99Hi9hAt,4604,0,tollas,finnougric,0,1
R_3QR929IrgiCVniq,519,-2.6,tollas,finnougric,0,1
R_2t6dfZt35dI0dhl,682,-1.05,tollas,finnougric,0,1
R_3Po5gbqeIdAHi9l,668,0,tollas,finnougric,0,1
R_32Mja3MNPo5Np98,536,-2.98,tollas,finnougric,0,1
R_3qsVbzSPnkEZ9Pu,483,2.02,tollas,finnougric,0,1
R_qBZVAGbiygl16yR,674,-1.89,tollas,finnougric,0,1
R_3MEgzBiFCJBMAUN,457,-5.78,tollas,finnougric,0,1
R_rkYNuZF0SgK0JGh,732,-2.64,tollas,finnougric,0,1
R_29oCgZSCYIJePHg,792,-4.1,tollas,finnougric,0,1
R_2pY9bqFFpuTAS1a,284,-1.81,tollas,finnougric,0,1
R_1GwflvMIvtpVDSz,652,0,tollas,finnougric,0,1
R_3CHocKls9HFwIp0,569,-1.3,tompa,slavic,0,0
R_231pwiLAC5ZSwkg,588,-3.06,tompa,slavic,0,0
R_pK6D4qIrzWOHXrj,774,0,tompa,slavic,0,0
R_8nZbxNURhEAQ0wN,768,0,tompa,slavic,0,0
R_1KmaYsKDeil9Ulu,630,-2.26,tompa,slavic,0,0
R_2f73AcR8uA82XLd,773,-1.81,tompa,slavic,0,0
R_3ELPEMeSqeojjKD,4499,-4.96,tompa,slavic,0,0
R_29QlGRes7a1ZuSt,1006,-3.16,tompa,slavic,0,0
R_AgvhV0T99Hi9hAt,4604,0.16,tompa,slavic,0,0
R_3QR929IrgiCVniq,519,-1.62,tompa,slavic,0,0
R_2t6dfZt35dI0dhl,682,-3.98,tompa,slavic,0,0
R_3Po5gbqeIdAHi9l,668,-2.9,tompa,slavic,0,0
R_32Mja3MNPo5Np98,536,-1.91,tompa,slavic,0,0
R_3qsVbzSPnkEZ9Pu,483,0,tompa,slavic,0,0
R_qBZVAGbiygl16yR,674,-6.24,tompa,slavic,0,0
R_3MEgzBiFCJBMAUN,457,-3.51,tompa,slavic,0,0
R_rkYNuZF0SgK0JGh,732,-1.44,tompa,slavic,0,0
R_29oCgZSCYIJePHg,792,-4.57,tompa,slavic,0,0
R_2pY9bqFFpuTAS1a,284,-4.91,tompa,slavic,0,0
R_1GwflvMIvtpVDSz,652,1.4,tompa,slavic,0,0
R_3CHocKls9HFwIp0,569,5.11,tüskés,from other,0,0
R_231pwiLAC5ZSwkg,588,6.59,tüskés,from other,0,0
R_pK6D4qIrzWOHXrj,774,4.86,tüskés,from other,0,0
R_8nZbxNURhEAQ0wN,768,6.94,tüskés,from other,0,0
R_1KmaYsKDeil9Ulu,630,6.19,tüskés,from other,0,0
R_2f73AcR8uA82XLd,773,0,tüskés,from other,0,0
R_3ELPEMeSqeojjKD,4499,7,tüskés,from other,0,0
R_29QlGRes7a1ZuSt,1006,5.85,tüskés,from other,0,0
R_AgvhV0T99Hi9hAt,4604,5.97,tüskés,from other,0,0
R_3QR929IrgiCVniq,519,5.48,tüskés,from other,0,0
R_2t6dfZt35dI0dhl,682,7,tüskés,from other,0,0
R_3Po5gbqeIdAHi9l,668,1.01,tüskés,from other,0,0
R_32Mja3MNPo5Np98,536,7,tüskés,from other,0,0
R_3qsVbzSPnkEZ9Pu,483,5.91,tüskés,from other,0,0
R_qBZVAGbiygl16yR,674,3.2,tüskés,from other,0,0
R_3MEgzBiFCJBMAUN,457,7,tüskés,from other,0,0
R_rkYNuZF0SgK0JGh,732,6.33,tüskés,from other,0,0
R_29oCgZSCYIJePHg,792,6.57,tüskés,from other,0,0
R_2pY9bqFFpuTAS1a,284,5.99,tüskés,from other,0,0
R_1GwflvMIvtpVDSz,652,5.07,tüskés,from other,0,0
R_3CHocKls9HFwIp0,569,-1.94,viaszos,slavic,0,0
R_231pwiLAC5ZSwkg,588,0,viaszos,slavic,0,0
R_pK6D4qIrzWOHXrj,774,-4.77,viaszos,slavic,0,0
R_8nZbxNURhEAQ0wN,768,-5.13,viaszos,slavic,0,0
R_1KmaYsKDeil9Ulu,630,-3.32,viaszos,slavic,0,0
R_2f73AcR8uA82XLd,773,0,viaszos,slavic,0,0
R_3ELPEMeSqeojjKD,4499,-4.34,viaszos,slavic,0,0
R_29QlGRes7a1ZuSt,1006,-5.02,viaszos,slavic,0,0
R_AgvhV0T99Hi9hAt,4604,-4,viaszos,slavic,0,0
R_3QR929IrgiCVniq,519,-1.3,viaszos,slavic,0,0
R_2t6dfZt35dI0dhl,682,-6.98,viaszos,slavic,0,0
R_3Po5gbqeIdAHi9l,668,0,viaszos,slavic,0,0
R_32Mja3MNPo5Np98,536,0,viaszos,slavic,0,0
R_3qsVbzSPnkEZ9Pu,483,-4.67,viaszos,slavic,0,0
R_qBZVAGbiygl16yR,674,-6.06,viaszos,slavic,0,0
R_3MEgzBiFCJBMAUN,457,1.87,viaszos,slavic,0,0
R_rkYNuZF0SgK0JGh,732,-4.97,viaszos,slavic,0,0
R_29oCgZSCYIJePHg,792,1.18,viaszos,slavic,0,0
R_2pY9bqFFpuTAS1a,284,-3.47,viaszos,slavic,0,0
R_1GwflvMIvtpVDSz,652,-5.95,viaszos,slavic,0,0
R_3CHocKls9HFwIp0,569,-1.32,zsíros,slavic,1,0
R_231pwiLAC5ZSwkg,588,0,zsíros,slavic,1,0
R_pK6D4qIrzWOHXrj,774,-4.72,zsíros,slavic,1,0
R_8nZbxNURhEAQ0wN,768,0,zsíros,slavic,1,0
R_1KmaYsKDeil9Ulu,630,-2.88,zsíros,slavic,1,0
R_2f73AcR8uA82XLd,773,-0.32,zsíros,slavic,1,0
R_3ELPEMeSqeojjKD,4499,-4.77,zsíros,slavic,1,0
R_29QlGRes7a1ZuSt,1006,-5.79,zsíros,slavic,1,0
R_AgvhV0T99Hi9hAt,4604,-6.13,zsíros,slavic,1,0
R_3QR929IrgiCVniq,519,-3.08,zsíros,slavic,1,0
R_2t6dfZt35dI0dhl,682,0.95,zsíros,slavic,1,0
R_3Po5gbqeIdAHi9l,668,0,zsíros,slavic,1,0
R_32Mja3MNPo5Np98,536,-3.04,zsíros,slavic,1,0
R_3qsVbzSPnkEZ9Pu,483,-4.44,zsíros,slavic,1,0
R_qBZVAGbiygl16yR,674,-3.77,zsíros,slavic,1,0
R_3MEgzBiFCJBMAUN,457,-3.94,zsíros,slavic,1,0
R_rkYNuZF0SgK0JGh,732,-3.75,zsíros,slavic,1,0
R_29oCgZSCYIJePHg,792,-6.07,zsíros,slavic,1,0
R_2pY9bqFFpuTAS1a,284,-6.76,zsíros,slavic,1,0
R_1GwflvMIvtpVDSz,652,-4.34,zsíros,slavic,1,0
R_3CHocKls9HFwIp0,569,7,érdes,innovation,1,0
R_231pwiLAC5ZSwkg,588,5.11,érdes,innovation,1,0
R_pK6D4qIrzWOHXrj,774,7,érdes,innovation,1,0
R_8nZbxNURhEAQ0wN,768,7,érdes,innovation,1,0
R_1KmaYsKDeil9Ulu,630,7,érdes,innovation,1,0
R_2f73AcR8uA82XLd,773,2.09,érdes,innovation,1,0
R_3ELPEMeSqeojjKD,4499,7,érdes,innovation,1,0
R_29QlGRes7a1ZuSt,1006,7,érdes,innovation,1,0
R_AgvhV0T99Hi9hAt,4604,7,érdes,innovation,1,0
R_3QR929IrgiCVniq,519,7,érdes,innovation,1,0
R_2t6dfZt35dI0dhl,682,7,érdes,innovation,1,0
R_3Po5gbqeIdAHi9l,668,7,érdes,innovation,1,0
R_32Mja3MNPo5Np98,536,7,érdes,innovation,1,0
R_3qsVbzSPnkEZ9Pu,483,7,érdes,innovation,1,0
R_qBZVAGbiygl16yR,674,6.88,érdes,innovation,1,0
R_3MEgzBiFCJBMAUN,457,3.19,érdes,innovation,1,0
R_rkYNuZF0SgK0JGh,732,7,érdes,innovation,1,0
R_29oCgZSCYIJePHg,792,7,érdes,innovation,1,0
R_2pY9bqFFpuTAS1a,284,7,érdes,innovation,1,0
R_1GwflvMIvtpVDSz,652,7,érdes,innovation,1,0
R_3CHocKls9HFwIp0,569,0,üveges,misc,0,0
R_231pwiLAC5ZSwkg,588,0,üveges,misc,0,0
R_pK6D4qIrzWOHXrj,774,0.12,üveges,misc,0,0
R_8nZbxNURhEAQ0wN,768,-3.73,üveges,misc,0,0
R_1KmaYsKDeil9Ulu,630,-4.91,üveges,misc,0,0
R_2f73AcR8uA82XLd,773,-1.28,üveges,misc,0,0
R_3ELPEMeSqeojjKD,4499,-2.52,üveges,misc,0,0
R_29QlGRes7a1ZuSt,1006,0,üveges,misc,0,0
R_AgvhV0T99Hi9hAt,4604,-1.7,üveges,misc,0,0
R_3QR929IrgiCVniq,519,-2.43,üveges,misc,0,0
R_2t6dfZt35dI0dhl,682,-5.23,üveges,misc,0,0
R_3Po5gbqeIdAHi9l,668,0,üveges,misc,0,0
R_32Mja3MNPo5Np98,536,-3.04,üveges,misc,0,0
R_3qsVbzSPnkEZ9Pu,483,-4.15,üveges,misc,0,0
R_qBZVAGbiygl16yR,674,-3.71,üveges,misc,0,0
R_3MEgzBiFCJBMAUN,457,0.93,üveges,misc,0,0
R_rkYNuZF0SgK0JGh,732,-7,üveges,misc,0,0
R_29oCgZSCYIJePHg,792,-2.41,üveges,misc,0,0
R_2pY9bqFFpuTAS1a,284,-7,üveges,misc,0,0
R_1GwflvMIvtpVDSz,652,0.37,üveges,misc,0,0
R_3CHocKls9HFwIp0,569,4.63,rozsdás,slavic,1,0
R_231pwiLAC5ZSwkg,588,1.32,rozsdás,slavic,1,0
R_pK6D4qIrzWOHXrj,774,3.92,rozsdás,slavic,1,0
R_8nZbxNURhEAQ0wN,768,4.26,rozsdás,slavic,1,0
R_1KmaYsKDeil9Ulu,630,3.83,rozsdás,slavic,1,0
R_2f73AcR8uA82XLd,773,3.29,rozsdás,slavic,1,0
R_3ELPEMeSqeojjKD,4499,4.39,rozsdás,slavic,1,0
R_29QlGRes7a1ZuSt,1006,4.42,rozsdás,slavic,1,0
R_AgvhV0T99Hi9hAt,4604,0,rozsdás,slavic,1,0
R_3QR929IrgiCVniq,519,1.06,rozsdás,slavic,1,0
R_2t6dfZt35dI0dhl,682,2.96,rozsdás,slavic,1,0
R_3Po5gbqeIdAHi9l,668,0,rozsdás,slavic,1,0
R_32Mja3MNPo5Np98,536,2.15,rozsdás,slavic,1,0
R_3qsVbzSPnkEZ9Pu,483,0,rozsdás,slavic,1,0
R_qBZVAGbiygl16yR,674,2.37,rozsdás,slavic,1,0
R_3MEgzBiFCJBMAUN,457,3.86,rozsdás,slavic,1,0
R_rkYNuZF0SgK0JGh,732,5.99,rozsdás,slavic,1,0
R_29oCgZSCYIJePHg,792,5.26,rozsdás,slavic,1,0
R_2pY9bqFFpuTAS1a,284,7,rozsdás,slavic,1,0
R_1GwflvMIvtpVDSz,652,2.37,rozsdás,slavic,1,0
R_3CHocKls9HFwIp0,569,2.62,lyukacsos,finnougric,0,0
R_231pwiLAC5ZSwkg,588,0.47,lyukacsos,finnougric,0,0
R_pK6D4qIrzWOHXrj,774,3.01,lyukacsos,finnougric,0,0
R_8nZbxNURhEAQ0wN,768,0,lyukacsos,finnougric,0,0
R_1KmaYsKDeil9Ulu,630,2.68,lyukacsos,finnougric,0,0
R_2f73AcR8uA82XLd,773,0,lyukacsos,finnougric,0,0
R_3ELPEMeSqeojjKD,4499,4.06,lyukacsos,finnougric,0,0
R_29QlGRes7a1ZuSt,1006,0,lyukacsos,finnougric,0,0
R_AgvhV0T99Hi9hAt,4604,2.15,lyukacsos,finnougric,0,0
R_3QR929IrgiCVniq,519,0.95,lyukacsos,finnougric,0,0
R_2t6dfZt35dI0dhl,682,3.19,lyukacsos,finnougric,0,0
